Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
562,Yokai Watch 2 Shinuchi,3DS,2014,0,0,2.68,0,2.68
2243,Inazuma Eleven 3,DS,2010,0,0,0.93,0,0.93
3711,Ninokuni: Shikkoku no Madoushi,DS,2010,0,0,0.54,0,0.54
4215,Inazuma Eleven Go 2: Chrono Stone,3DS,2012,0,0.01,0.46,0,0.47
4893,Danball Senki,PSP,2011,0,0,0.39,0,0.39
7847,Inazuma Eleven Strikers 2012 Xtreme,Wii,2011,0,0,0.19,0,0.19
7978,Little Battlers eXperience W,PSP,2012,0,0,0.19,0,0.19
10499,Little Battlers eXperience W,3DS,2013,0,0,0.1,0,0.1
10545,Inazuma Eleven GO Strikers 2013,Wii,2012,0,0,0.1,0,0.1
12749,Girls RPG: Cinderellife,3DS,2012,0,0,0.06,0,0.06
13571,Little Battlers eXperience W,PSV,2012,0,0,0.04,0,0.04
