Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
5806,Fate/Extra,PSP,2010,0.18,0.01,0.1,0.02,0.31
6862,Harvest Moon: Another Wonderful Life,GC,2004,0.19,0.05,0,0.01,0.24
7180,Rune Factory: Tides of Destiny,PS3,2011,0.14,0,0.07,0.01,0.22
7476,Rune Factory: Tides of Destiny,Wii,2011,0.14,0,0.06,0.01,0.21
7754,Arc Rise Fantasia,Wii,2009,0.13,0,0.06,0.01,0.19
9478,Grand Knights History,PSP,2011,0,0,0.13,0,0.13
12658,Katekyoo Hitman Reborn! DS Fate of Heat III - Yuki no Shugosha Raishuu!,DS,2010,0,0,0.06,0,0.06
13814,Valhalla Knights 2: Battle Stance,PSP,2009,0,0,0.04,0,0.04
14099,Luminous Arc 3,DS,2009,0,0,0.04,0,0.04
14119,Katekyoo Hitman Reborn! DS: Fate of Heat II - Unmei no Futari,DS,2009,0,0,0.03,0,0.03
14499,CIMA: The Enemy,GBA,2003,0.02,0.01,0,0,0.03
14895,Mahou Sensei Negima! Private Lesson 2: Ojama Shimasu Parasite de Chu,GBA,2006,0,0,0.02,0,0.03
15094,Ikki Tousen: Shining Dragon,PS2,2007,0,0,0.02,0,0.02
