Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
193,Fable III,X360,2010,3.59,1.11,0.05,0.38,5.13
260,Fable II,X360,2008,2.51,1.27,0.11,0.41,4.31
490,Mass Effect,X360,2007,1.83,0.8,0.03,0.27,2.93
569,Fable,XB,2004,1.99,0.58,0,0.09,2.66
2248,Blue Dragon,X360,2006,0.3,0.33,0.21,0.08,0.92
2272,Lost Odyssey,X360,2007,0.45,0.27,0.11,0.09,0.92
2622,Too Human,X360,2008,0.38,0.3,0.03,0.08,0.79
2919,Jade Empire,XB,2005,0.48,0.19,0,0.03,0.7
4137,Fable,X360,2014,0.25,0.19,0.01,0.04,0.48
4179,Shadowrun,X360,2007,0.41,0.02,0,0.04,0.47
5099,Kingdom Under Fire: Circle of Doom,X360,2007,0.18,0.12,0.04,0.04,0.37
5700,Fable III,PC,2011,0.09,0.17,0,0.05,0.32
6043,Fable: The Journey,X360,2012,0.18,0.09,0,0.02,0.29
7856,Sudeki,XB,2004,0.14,0.04,0,0.01,0.19
11946,Fable: The Lost Chapters,PC,2005,0.01,0.05,0,0.01,0.07
14839,Dungeon Siege II,PC,2005,0,0.02,0,0,0.03
