Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
5,Pokemon Red/Pokemon Blue,GB,1996,11.27,8.89,10.22,1,31.37
13,Pokemon Gold/Pokemon Silver,GB,1999,9,6.18,7.2,0.71,23.1
21,Pokemon Diamond/Pokemon Pearl,DS,2006,6.42,4.52,6.04,1.37,18.36
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,6.06,3.9,5.38,0.5,15.85
27,Pokemon Black/Pokemon White,DS,2010,5.57,3.28,5.65,0.82,15.32
31,Pokémon Yellow: Special Pikachu Edition,GB,1998,5.89,5.04,3.12,0.59,14.64
33,Pokemon X/Pokemon Y,3DS,2013,5.17,4.05,4.34,0.79,14.35
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,4.23,3.37,3.08,0.65,11.33
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,4.34,2.65,3.15,0.35,10.49
82,Pokemon Black 2/Pokemon White 2,DS,2012,2.91,1.86,3.14,0.43,8.33
89,Pokémon Platinum Version,DS,2008,2.82,1.78,2.69,0.55,7.84
131,Pokémon Emerald Version,GBA,2004,2.57,1.58,2.06,0.21,6.41
133,Pokémon Crystal Version,GB,2000,2.55,1.56,1.29,0.99,6.39
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,0.66,0.69,4.35,0.15,5.84
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,1.85,1.2,1.54,0.37,4.96
309,Monster Hunter 4 Ultimate,3DS,2014,0.67,0.49,2.62,0.11,3.89
320,Mario & Luigi: Bowser's Inside Story,DS,2009,2.26,0.48,0.81,0.27,3.83
420,Yokai Watch 2 Ganso/Honke,3DS,2014,0.03,0,3.18,0,3.22
537,Monster Hunter Tri,3DS,2011,0.46,0.29,1.96,0.07,2.79
605,Pokémon Colosseum,GC,2003,1.21,0.57,0.7,0.07,2.54
694,Pokemon Ranger: Shadows of Almia,DS,2008,0.95,0.54,0.62,0.18,2.3
707,Paper Mario: Sticker Star,3DS,2012,1.12,0.39,0.64,0.12,2.27
718,Paper Mario: The Thousand-Year Door,GC,2004,1.48,0.25,0.46,0.06,2.25
720,Monster Hunter Tri,Wii,2009,0.67,0.41,1.05,0.11,2.25
752,Pokemon Ranger,DS,2006,1.29,0.04,0.73,0.12,2.18
753,Mario & Luigi: Superstar Saga,GBA,2003,1.48,0.17,0.47,0.06,2.17
764,Super Mario RPG: Legend of the Seven Stars,SNES,1996,0.66,0,1.45,0.03,2.14
818,Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,2005,0.71,0.52,0.74,0.08,2.06
822,Mario & Luigi: Dream Team,3DS,2013,0.89,0.57,0.46,0.13,2.06
826,Pokémon Mystery Dungeon: Blue Rescue Team,DS,2005,1.16,0.06,0.83,0,2.05
849,Fire Emblem: Awakening,3DS,2012,0.89,0.45,0.53,0.13,2
913,Yokai Watch,3DS,2013,0.21,0.3,1.33,0.04,1.89
958,Dragon Quest VI: Realms of Revelation,DS,2010,0.22,0.21,1.35,0.03,1.81
992,Golden Sun,GBA,2001,0.93,0.38,0.4,0.06,1.76
1141,Pokemon Battle Revolution,Wii,2006,0.8,0.38,0.3,0.13,1.61
1180,Pokemon Mystery Dungeon: Explorers of Sky,DS,2009,0.58,0.44,0.44,0.12,1.58
1212,Fire Emblem Fates,3DS,2015,0.71,0.22,0.52,0.1,1.54
1269,Final Fantasy: Crystal Chronicles,GC,2003,0.72,0.38,0.36,0.04,1.49
1366,Inazuma Eleven 2,DS,2009,0,0.21,1.18,0.03,1.42
1403,Paper Mario,N64,2000,0.58,0.18,0.59,0.02,1.38
1404,Bravely Default: Flying Fairy,3DS,2012,0.5,0.32,0.49,0.07,1.38
1458,Mario & Luigi: Partners in Time,DS,2005,0.77,0.07,0.43,0.08,1.34
1483,Pokemon Ranger: Guardian Signs,DS,2010,0.51,0.17,0.58,0.06,1.33
1557,Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,0.44,0.3,0.47,0.06,1.27
