Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3285,Muramasa: The Demon Blade,Wii,2009,0.33,0.13,0.11,0.04,0.61
3621,Rune Factory: A Fantasy Harvest Moon,DS,2006,0.37,0.02,0.14,0.03,0.56
3733,Rune Factory 2: A Fantasy Harvest Moon,DS,2008,0.33,0.03,0.15,0.03,0.54
4521,Rune Factory 3: A Fantasy Harvest Moon,DS,2009,0.28,0.03,0.1,0.02,0.43
4587,Hometown Story,3DS,2013,0.22,0.13,0.04,0.04,0.42
4903,Rune Factory: Frontier,Wii,2008,0.18,0.14,0.04,0.04,0.39
4993,Fragile Dreams: Farewell Ruins of the Moon,Wii,2009,0.17,0.12,0.06,0.03,0.38
6782,Avalon Code,DS,2008,0.11,0,0.12,0.01,0.24
6850,Luminous Arc,DS,2007,0.16,0,0.06,0.01,0.24
6861,Valhalla Knights,PSP,2006,0.15,0,0.07,0.01,0.24
7049,Luminous Arc 2,DS,2008,0.21,0,0,0.02,0.23
7108,Valhalla Knights 2,PSP,2008,0.09,0,0.12,0.01,0.23
7268,Growlanser: Heritage of War,PS2,2006,0.11,0.08,0,0.03,0.22
8015,Half-Minute Hero,PSP,2009,0.08,0.02,0.07,0.02,0.18
9184,Valhalla Knights: Eldar Saga,Wii,2009,0.1,0.01,0.01,0.01,0.14
9627,Baroque,PS2,2007,0.05,0.04,0.02,0.01,0.13
9745,Lunar: Dragon Song,DS,2005,0.11,0,0,0.01,0.12
10306,Master of the Monster Lair,DS,2007,0.1,0,0,0.01,0.11
10425,Contact,DS,2006,0.07,0,0.03,0.01,0.1
11717,Baroque,Wii,2008,0.07,0,0,0,0.08
12736,Dungeon Explorer: Warriors of Ancient Arts,DS,2007,0.05,0,0,0,0.06
12953,Growlanser: Heritage of War (jp sales),PS2,2006,0,0,0.05,0,0.05
14057,Half-Minute Hero 2,PSP,N/A,0,0,0.04,0,0.04
14351,Sorcery Saga: The Curse of the Great Curry God,PSV,2013,0,0,0.03,0,0.03
15023,Bomberman Story DS,DS,2007,0,0,0.02,0,0.02
16321,Dungeon Explorer: Warriors of Ancient Arts,PSP,2007,0.01,0,0,0,0.01
