Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
67,Final Fantasy VII,PS,1997,3.01,2.47,3.28,0.96,9.72
87,Final Fantasy X,PS2,2001,2.91,2.07,2.73,0.33,8.05
132,Kingdom Hearts,PS2,2002,3.64,1.2,1.49,0.07,6.4
928,The Legend of Dragoon,PS,1999,0.94,0.44,0.39,0.1,1.86
1213,Dark Cloud,PS2,2000,0.83,0.44,0.08,0.19,1.54
1842,Arc the Lad,PS,1995,0,0,1.1,0.01,1.11
1870,Star Ocean: The Second Story,PS,1998,0.26,0.1,0.72,0.02,1.1
1974,Arc the Lad II,PS,1996,0,0,0.92,0.13,1.05
2151,Dark Cloud 2,PS2,2002,0.38,0.25,0.26,0.07,0.96
2183,Wild ARMs,PS,1996,0.26,0.17,0.46,0.06,0.95
2228,White Knight Chronicles: International Edition,PS3,2008,0.33,0.16,0.36,0.08,0.93
2474,Rogue Galaxy,PS2,2005,0.24,0.16,0.39,0.05,0.84
2669,Freedom Wars,PSV,2014,0.22,0.14,0.32,0.1,0.77
3033,Wild ARMs 2,PS,1999,0.19,0.13,0.31,0.04,0.67
3074,Legend of Legaia,PS,1998,0.37,0.25,0,0.04,0.66
3171,White Knight Chronicles II,PS3,2010,0.23,0.09,0.27,0.05,0.64
3475,Xenosaga Episode II: Jenseits von Gut und Böse,PS2,2004,0.28,0.22,0,0.07,0.58
3522,Beyond The Beyond,PS,1995,0.11,0.08,0.35,0.04,0.57
3617,Soul Sacrifice,PSV,2013,0.18,0.09,0.22,0.06,0.56
4009,PoPoLoCrois Monogatari,PS,1996,0,0,0.46,0.03,0.5
4616,Arc the Lad III,PS,1999,0,0,0.39,0.03,0.42
4735,Rogue Galaxy: Director's Cut,PS2,2007,0.2,0.16,0,0.05,0.41
5194,Okage: Shadow King,PS2,2001,0.14,0.11,0.08,0.04,0.36
5237,Arc the Lad: Twilight of the Spirits,PS2,2003,0.18,0.14,0,0.05,0.36
5481,Jeanne d'Arc,PSP,2006,0.21,0,0.1,0.02,0.33
5555,Folklore,PS3,2007,0.2,0.05,0.05,0.03,0.33
7428,PoPoLoCrois Monogatari II,PS,2000,0,0,0.2,0.01,0.21
7701,Ore no Shikabane o Koete Yuke,PSP,2011,0,0,0.2,0,0.2
8471,PoPoLoCrois: Hajimari no Bouken,PS2,2002,0,0,0.16,0,0.16
8516,King's Field,PS,1995,0.09,0.06,0,0.01,0.16
8821,Kingdom of Paradise,PSP,2005,0.14,0,0,0.01,0.15
8856,Oreshika: Tainted Bloodlines,PSV,2014,0,0,0.15,0,0.15
8857,White Knight Chronicles: Origins,PSP,2011,0,0.04,0.09,0.02,0.15
8989,Wizardry VII: Gadeia no Houshu,PS,1995,0,0,0.14,0.01,0.15
9150,The Granstream Saga,PS,1997,0.08,0.05,0,0.01,0.14
10190,Brave Story: New Traveler (US sales),PSP,2006,0.11,0,0,0,0.11
10674,Crime Crackers,PS,1994,0,0,0.09,0.01,0.1
10964,Wild ARMs: Alter Code F,PS2,2003,0.05,0.04,0,0.01,0.09
11455,Final Fantasy VI,PS,1999,0,0,0.08,0.01,0.08
12090,Dragon Valor,PS,1999,0.04,0.03,0,0,0.07
12208,Bleach: Hanatareshi Yabou,PS2,2006,0,0,0.07,0,0.07
12344,Arc the Lad: End of Darkness,PS2,2004,0.03,0.02,0,0.01,0.06
12727,Tsugunai: Atonement,PS2,2001,0.02,0.01,0.02,0,0.06
12856,Dual Hearts,PS2,2002,0.03,0.02,0,0.01,0.05
13411,Brave Story: New Traveller (jp sales),PSP,2006,0,0,0.05,0,0.05
13760,Saru! Get You! Pipo Saru Senki,PSP,2009,0,0,0.04,0,0.04
14059,Monster Kingdom: Jewel Summoner,PSP,2006,0,0,0.04,0,0.04
15396,Invizimals: The Resistance,PSV,2014,0,0.02,0,0,0.02
15462,Coded Soul: Uke Keigareshi Idea,PSP,2008,0,0,0.02,0,0.02
