Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
88,Final Fantasy VIII,PS,1999,2.28,1.72,3.63,0.23,7.86
174,Final Fantasy IX,PS,2000,1.62,0.77,2.78,0.14,5.3
390,Final Fantasy III,SNES,1994,0.86,0,2.55,0.02,3.42
630,Final Fantasy V,SNES,1992,0,0,2.43,0.02,2.45
631,Final Fantasy Tactics,PS,1997,0.93,0.12,1.34,0.06,2.45
690,Chrono Trigger,SNES,1995,0.28,0,2.02,0.01,2.31
771,Final Fantasy Tactics Advance,GBA,2003,0.82,0.37,0.89,0.05,2.13
787,Parasite Eve,PS,1998,0.94,0.07,1.05,0.04,2.1
934,Chrono Cross,PS,1999,0.62,0.42,0.69,0.12,1.86
950,Secret of Mana,SNES,1993,0.25,0.07,1.49,0.02,1.83
1299,Xenogears,PS,1998,0.29,0.19,0.89,0.1,1.46
1387,Final Fantasy III,NES,1990,0,0,1.39,0.01,1.4
1453,SaGa Frontier,PS,1997,0.15,0.04,1.07,0.09,1.35
1523,Romancing SaGa 3,SNES,1995,0,0,1.29,0.01,1.3
1645,Chocobo no Fushigi Dungeon,PS,1997,0,0,1.14,0.08,1.22
1731,Romancing SaGa 2,SNES,1993,0,0,1.17,0,1.17
1787,Brave Fencer Musashi,PS,1998,0.25,0.17,0.65,0.07,1.14
1846,Legend of Mana,PS,1999,0.18,0.13,0.73,0.07,1.11
1860,The Final Fantasy Legend,GB,1989,0,0,1.1,0,1.1
2144,Romancing SaGa,SNES,1992,0,0,0.97,0,0.97
2211,SaGa Frontier 2,PS,1999,0.1,0.07,0.71,0.06,0.94
2355,Seiken Densetsu 3,SNES,1995,0,0,0.89,0,0.89
2468,Final Fantasy,NES,1987,0.32,0,0.52,0,0.84
2706,Final Fantasy II,NES,1988,0,0,0.76,0,0.76
2729,Final Fantasy Legend III,GB,1991,0,0,0.76,0,0.76
2924,Chocobo's Dungeon 2,PS,1998,0.04,0.03,0.58,0.05,0.7
3277,Bahamut Lagoon,SNES,1996,0,0,0.62,0,0.62
3499,Parasite Eve II,PS,1999,0.32,0.22,0,0.04,0.58
3933,Final Fantasy,WS,2000,0,0,0.51,0,0.51
5035,Final Fantasy Adventure,GB,1991,0,0,0.38,0,0.38
5674,Live A Live,SNES,1994,0,0,0.32,0,0.32
6671,Final Fantasy II,WS,2001,0,0,0.25,0,0.25
6899,Front Mission: Gun Hazard,SNES,1996,0,0,0.24,0,0.24
7427,Threads of Fate,PS,1999,0.12,0.08,0,0.01,0.21
7646,Treasure Hunter G,SNES,1996,0,0,0.2,0,0.2
8386,Final Fantasy V,PS,1998,0,0,0.16,0.01,0.17
8812,Rudra no Hihou,SNES,1996,0,0,0.15,0,0.15
9097,Soukaigi,PS,1998,0,0,0.13,0.01,0.14
