Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3225,Shin Megami Tensei: Persona 3 FES,PS2,2007,0.22,0.2,0.16,0.05,0.63
4299,Hyperdimension Neptunia,PS3,2010,0.22,0.11,0.07,0.05,0.46
4374,Shin Megami Tensei: Persona 3,PS2,2006,0.22,0.03,0,0.2,0.45
5515,Disgaea 2: Cursed Memories,PS2,2006,0.09,0.07,0.15,0.02,0.33
5526,Disgaea: Hour of Darkness,PS2,2003,0.16,0.13,0,0.04,0.33
6003,Atelier Iris 3: Grand Phantasm (US Sales),PS2,2006,0.14,0.11,0,0.04,0.29
6208,Soul Nomad & the World Eaters,PS2,2007,0.14,0.11,0,0.04,0.28
6436,Atelier Ayesha: The Alchemist of Dusk,PS3,2012,0.06,0.04,0.14,0.02,0.27
6935,Ar tonelico Qoga: Knell of Ar Ciel,PS3,2010,0.08,0.01,0.13,0.01,0.24
7110,Disgaea: Afternoon of Darkness,PSP,2006,0.15,0.01,0.04,0.02,0.23
7184,Atelier Escha & Logy: Alchemists of the Dusk Sky,PS3,2013,0.06,0.04,0.1,0.02,0.22
7459,Shin Megami Tensei: Persona 3 (jp sales),PS2,2006,0,0,0.21,0,0.21
7540,Atelier Shallie: Alchemists of the Dusk Sea,PS3,2014,0.06,0.05,0.08,0.02,0.2
7736,Nostalgia,DS,2008,0.16,0,0.02,0.01,0.19
7983,La Pucelle: Tactics,PS2,2002,0.09,0.07,0,0.02,0.19
8475,Ar Nosurge: Ode to an Unborn Star,PS3,2014,0.05,0.04,0.06,0.02,0.16
8742,Atelier Iris: Eternal Mana,PS2,2004,0.08,0.06,0,0.02,0.15
9046,Phantom Brave,PS2,2004,0.07,0.05,0,0.02,0.14
9384,Monster Rancher DS,DS,2008,0.08,0,0.05,0.01,0.13
9732,Makai Kingdom: Chronicles of the Sacred Tome,PS2,2005,0.06,0.05,0,0.02,0.12
10578,Monster Rancher EVO,PS2,2005,0.02,0.02,0.05,0.01,0.1
10625,Opoona,Wii,2007,0.08,0,0.01,0.01,0.1
10662,Atelier Sophie: The Alchemist of the Mysterious Book,PS4,2015,0.01,0.02,0.06,0.01,0.1
11075,Mugen Keitai Disgaea,PS2,2007,0,0,0.09,0,0.09
11251,Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs. The Soulless Army,PS2,2006,0,0,0.09,0,0.09
11735,Yoru no Nai Kuni,PS4,2015,0,0,0.08,0,0.08
11766,Yoru no Nai Kuni,PSV,2015,0,0,0.07,0,0.07
12038,Colosseum: Road to Freedom,PS2,2005,0.03,0.03,0,0.01,0.07
12115,Dragoneer's Aria,PSP,2007,0.02,0,0.05,0,0.07
12310,Kiniro no Corda 2,PS2,2007,0,0,0.06,0,0.06
12323,Zill O'll Infinite Plus,PSP,2009,0,0,0.06,0,0.06
12392,Atelier Iris 2: The Azoth Of Destiny,PS2,2005,0.03,0.02,0,0.01,0.06
12575,Atelier Sophie: The Alchemist of the Mysterious Book,PSV,2015,0,0,0.06,0,0.06
12735,Kaite Shabette Hajimeyou! Monster Farm DS,DS,2007,0,0,0.06,0,0.06
13293,Kiniro no Corda 2 Encore,PS2,2007,0,0,0.05,0,0.05
13410,Atelier Ayesha: The Alchemist of Dusk,PSV,2014,0,0,0.05,0,0.05
13416,Yoru no Nai Kuni,PS3,2015,0,0,0.05,0,0.05
13475,Atelier Escha & Logy: Alchemists of the Dusk Sky,PSV,2015,0,0,0.04,0,0.04
13750,Harukanaru Toki no Naka de 5,PSP,2011,0,0,0.04,0,0.04
13771,Atelier Iris 3: Grand Phantasm (JP Sales),PS2,2006,0,0,0.04,0,0.04
13865,Harukanaru Toki no Naka de 4: Aizouban,PSP,2010,0,0,0.04,0,0.04
13954,Ar Nosurge: Ode to an Unborn Star,PSV,2014,0,0,0.04,0,0.04
14047,Kiniro no Corda 2 f,PSP,2009,0,0,0.04,0,0.04
14050,Deception III: Dark Delusion,PS,1999,0.02,0.01,0,0,0.04
14347,Atelier Sophie: The Alchemist of the Mysterious Book,PS3,2015,0,0,0.03,0,0.03
14466,Atelier Shallie Plus: Alchemists of the Dusk Sea,PSV,2016,0,0,0.03,0,0.03
14743,Kiniro no Corda 2 f Encore,PSP,2009,0,0,0.03,0,0.03
