Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
446,The Elder Scrolls IV: Oblivion,PS3,2007,1.69,0.87,0.14,0.42,3.12
508,The Elder Scrolls III: Morrowind,XB,2002,2.09,0.63,0.03,0.11,2.86
1041,Star Ocean: Till The End of Time,PS2,2003,0.8,0.21,0.55,0.15,1.72
2118,South Park: The Stick of Truth,PS3,2014,0.42,0.38,0,0.17,0.98
2179,South Park: The Stick of Truth,X360,2014,0.57,0.3,0,0.08,0.95
2605,Harvest Moon: A Wonderful Life,GC,2003,0.61,0.16,0,0.02,0.79
3245,Wild ARMs 3,PS2,2002,0.16,0.13,0.29,0.04,0.62
4547,Tales of the World: Radiant Mythology,PSP,2006,0.17,0.01,0.23,0.02,0.43
5337,EverGrace,PS2,2000,0.1,0.08,0.15,0.03,0.35
5457,Untold Legends: The Warriors Code,PSP,2006,0.14,0.12,0,0.08,0.33
5702,Might & Magic Heroes VI,PC,2011,0.12,0.14,0,0.05,0.31
5905,Eternal Ring,PS2,2000,0.1,0.07,0.1,0.03,0.3
5960,Grandia II,PS2,2002,0.14,0.11,0,0.04,0.29
6049,Pirates of the Caribbean,XB,2003,0.22,0.06,0,0.01,0.29
6352,Tales of Eternia,PSP,2005,0,0.01,0.25,0.01,0.27
6732,Grandia,PS,1999,0.14,0.09,0,0.02,0.25
7172,Breath of Fire,GBA,2001,0.11,0.04,0.06,0,0.22
7349,The Bard's Tale,PS2,2004,0.1,0.08,0,0.03,0.21
7504,Enchanted Arms,PS3,2007,0.17,0.01,0,0.02,0.2
7530,Dark Messiah of Might and Magic Elements,X360,2008,0.16,0.02,0.01,0.02,0.2
7656,Grandia II,DC,2000,0,0,0.2,0,0.2
7684,South Park: The Stick of Truth,PC,2014,0.07,0.1,0,0.02,0.2
7760,Breath of Fire II,GBA,2001,0.14,0.05,0,0,0.19
7766,Enchanted Arms,X360,2006,0.16,0.02,0,0.02,0.19
7809,Might & Magic: Clash of Heroes,DS,2009,0.16,0.02,0,0.01,0.19
9476,Drakengard 2,PS2,2005,0.06,0.05,0,0.02,0.13
9860,Lost Magic,DS,2006,0.09,0,0.02,0.01,0.12
10408,Child of Light,PSV,2014,0,0.07,0.02,0.02,0.11
10603,Jade Cocoon 2,PS2,2001,0.05,0.04,0,0.01,0.1
10624,The Bard's Tale,XB,2004,0.08,0.02,0,0,0.1
11222,Wizardry: Tale of the Forsaken Land,PS2,2001,0.04,0.03,0,0.01,0.09
11460,The Legend of Alon D'ar,PS2,2001,0.04,0.03,0,0.01,0.08
11574,Evolution Worlds,GC,2002,0.06,0.02,0,0,0.08
12902,Medabots: Infinity,GC,2003,0.04,0.01,0,0,0.05
13072,Child of Light,PS4,2014,0,0.01,0.04,0,0.05
13549,Advance Guardian Heroes,GBA,2004,0.03,0.01,0,0,0.04
14011,Enchanted Arms (JP sales),PS3,2007,0,0,0.04,0,0.04
14097,Might & Magic X: Legacy,PC,2014,0,0.03,0,0,0.04
14179,Astonishia Story,PSP,2006,0.03,0,0,0,0.03
15100,Enchanted Arms (JP sales),X360,2006,0,0,0.02,0,0.02
15232,Fallout Trilogy,PC,2004,0,0.02,0,0,0.02
