Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2116,Suikoden III,PS2,N/A,0.29,0.23,0.38,0.08,0.98
2546,Final Fantasy Type-0,PSP,2011,0,0,0.81,0,0.81
3032,RIFT,PC,2011,0.44,0.16,0,0.07,0.67
3704,Two Worlds II,X360,2011,0.4,0.08,0.03,0.04,0.54
4123,Two Worlds II,PS3,2011,0.26,0.11,0.06,0.05,0.48
4685,TERA,PC,N/A,0.24,0.12,0,0.05,0.41
5620,Final Fantasy XI,PS2,N/A,0.08,0.06,0.15,0.02,0.32
7523,Two Worlds II,PC,2011,0.09,0.09,0,0.03,0.2
8977,Black * Rock Shooter: The Game,PSP,2011,0,0,0.15,0,0.15
10274,GiFTPiA,GC,N/A,0,0,0.11,0,0.11
10359,Saigo no Yakusoku no Monogatari,PSP,2011,0,0,0.11,0,0.11
10556,Baten Kaitos Origins,GC,2006,0.06,0.02,0.02,0,0.1
10735,Persona 5,PS3,2016,0,0,0.1,0,0.1
10760,Luminous Arc 2 (JP sales),DS,N/A,0,0,0.1,0,0.1
13113,Metal Max 2 Reloaded,DS,2011,0,0,0.05,0,0.05
14276,Beyond the Labyrinth,3DS,N/A,0,0,0.03,0,0.03
14296,Foto Showdown,DS,2010,0.03,0,0,0,0.03
14852,Legacy of Ys: Books I & II,DS,N/A,0.02,0,0,0,0.03
15270,Dungeon Defenders,PC,2011,0.02,0,0,0,0.02
15655,Virtua Quest,PS2,N/A,0.01,0.01,0,0,0.02
16005,Red Stone DS: Akaki Ishi ni Michibikareshi Monotachi,DS,2011,0,0,0.01,0,0.01
16430,Virtua Quest,GC,N/A,0.01,0,0,0,0.01
