Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2120,Sniper Elite V2,PS3,2012,0.38,0.39,0.06,0.15,0.98
2453,Sniper Elite V2,X360,2012,0.46,0.29,0.02,0.07,0.85
2992,Sniper Elite 3,PS4,2014,0.22,0.33,0,0.13,0.68
3416,Payday 2,X360,2013,0.33,0.21,0,0.05,0.59
4412,Payday 2,PS3,2013,0.21,0.15,0,0.08,0.44
5558,Sniper Elite 3,XOne,2014,0.19,0.11,0,0.03,0.33
5618,Sniper Elite 3,X360,2014,0.16,0.14,0,0.03,0.32
5715,Sniper Elite 3,PS3,2014,0.1,0.15,0,0.06,0.31
6408,Payday 2,PS4,2015,0.09,0.14,0,0.04,0.27
8430,Payday 2,XOne,2015,0.08,0.07,0,0.01,0.17
9048,ArmA II,PC,2009,0,0.12,0,0.03,0.14
9406,Greg Hastings Paintball 2,Wii,2010,0.12,0,0,0.01,0.13
9696,Blackwater,X360,2011,0.09,0.02,0,0.01,0.12
12018,Heavenly Guardian,Wii,2007,0.06,0,0,0,0.07
13005,MorphX,X360,2010,0.05,0,0,0,0.05
13299,Payday 2,PC,2013,0.04,0,0,0,0.05
13385,Counter Force,Wii,2007,0.04,0,0,0,0.05
15272,Sniper Elite V2,WiiU,2013,0,0.02,0,0,0.02
