Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1511,Turok: Evolution,PS2,2002,0.64,0.5,0,0.17,1.31
1792,South Park,N64,1998,0.9,0.23,0,0.02,1.14
2895,South Park,PS,1998,0.39,0.27,0,0.05,0.71
3681,Turok: Evolution,XB,2002,0.39,0.14,0,0.02,0.55
4150,Alien Trilogy,PS,1996,0.24,0.16,0.04,0.03,0.47
5003,Turok: Evolution,GC,2002,0.3,0.08,0,0.01,0.38
5127,Turok: Rage Wars,N64,1999,0.3,0.06,0,0,0.37
6527,Armorines: Project S.W.A.R.M.,N64,1999,0.21,0.05,0,0,0.26
6633,Galactic Attack,SAT,1994,0,0,0.25,0,0.25
6889,Forsaken,PS,1998,0.13,0.09,0,0.02,0.24
8341,Turok 3: Shadow of Oblivion,N64,2000,0.12,0.05,0,0,0.17
9936,Turok: Evolution,GBA,2002,0.08,0.03,0,0,0.12
10356,Jupiter Strike,PS,1994,0.06,0.04,0,0.01,0.11
10497,Revolution X,PS,1995,0.06,0.04,0,0.01,0.1
10590,Darius Gaiden,SAT,1995,0,0,0.1,0,0.1
11330,Armorines: Project S.W.A.R.M.,PS,2000,0.05,0.03,0,0.01,0.08
13365,Turok: Dinosaur Hunter,N64,1997,0,0,0.05,0,0.05
