Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
30,Call of Duty: Modern Warfare 3,X360,2011,9.03,4.28,0.13,1.32,14.76
32,Call of Duty: Black Ops,X360,2010,9.67,3.73,0.11,1.13,14.64
34,Call of Duty: Black Ops 3,PS4,2015,5.77,5.81,0.35,2.31,14.24
35,Call of Duty: Black Ops II,PS3,2012,4.99,5.88,0.65,2.52,14.03
36,Call of Duty: Black Ops II,X360,2012,8.25,4.3,0.07,1.12,13.73
37,Call of Duty: Modern Warfare 2,X360,2009,8.52,3.63,0.08,1.29,13.51
38,Call of Duty: Modern Warfare 3,PS3,2011,5.54,5.82,0.49,1.62,13.46
41,Call of Duty: Black Ops,PS3,2010,5.98,4.44,0.48,1.83,12.73
56,Call of Duty: Modern Warfare 2,PS3,2009,4.99,3.69,0.38,1.63,10.69
62,Call of Duty: Ghosts,X360,2013,6.72,2.63,0.04,0.82,10.21
68,Call of Duty: Ghosts,PS3,2013,4.09,3.73,0.38,1.38,9.59
71,Call of Duty 4: Modern Warfare,X360,2007,5.91,2.38,0.13,0.9,9.32
94,Call of Duty: Advanced Warfare,PS4,2014,2.8,3.3,0.14,1.37,7.6
99,Call of Duty: World at War,X360,2008,4.79,1.9,0,0.69,7.37
102,Call of Duty: Black Ops 3,XOne,2015,4.52,2.09,0.01,0.67,7.3
121,Call of Duty 4: Modern Warfare,PS3,2007,3.1,2.3,0.28,1.04,6.72
155,Destiny,PS4,2014,2.49,2.05,0.16,0.96,5.65
167,Call of Duty: World at War,PS3,2008,2.72,1.87,0,0.84,5.43
194,Call of Duty: Advanced Warfare,XOne,2014,3.21,1.53,0.01,0.38,5.13
245,Call of Duty: Advanced Warfare,PS3,2014,1.54,1.94,0.19,0.77,4.45
258,Call of Duty: Advanced Warfare,X360,2014,2.75,1.18,0,0.37,4.31
350,Call of Duty: Ghosts,PS4,2013,1.78,1.42,0.05,0.38,3.63
411,Destiny,XOne,2014,2.13,0.92,0,0.23,3.28
501,Call of Duty: Finest Hour,PS2,2004,1.51,1.12,0.01,0.24,2.89
506,Call of Duty: Ghosts,XOne,2013,1.87,0.77,0,0.22,2.86
551,Call of Duty 3,X360,2006,1.49,0.93,0.02,0.27,2.71
566,Call Of Duty 2: Big Red One,PS2,2005,1.48,0.92,0.01,0.26,2.67
713,Call of Duty 3,Wii,N/A,1.19,0.84,0,0.23,2.26
763,Call of Duty: Roads to Victory,PSP,2007,0.52,1.03,0,0.59,2.14
843,Call of Duty 2,X360,2005,1.81,0.05,0.01,0.15,2.02
863,Call of Duty: World at War,Wii,2008,1.2,0.59,0,0.19,1.97
873,Destiny,X360,2014,1.3,0.49,0,0.16,1.95
907,Destiny: The Taken King,PS4,2015,0.77,0.78,0.04,0.31,1.91
969,Call of Duty: Black Ops 3,PS3,2015,0.49,0.96,0.07,0.27,1.79
1001,Call of Duty: Black Ops 3,X360,2015,1.11,0.48,0,0.16,1.76
1007,Star Wars: Battlefront,XB,2004,1.24,0.45,0,0.07,1.75
1026,Destiny,PS3,2014,0.67,0.66,0.12,0.27,1.73
