Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1137,Rage,X360,2011,0.82,0.61,0.03,0.15,1.62
1170,Wolfenstein: The New Order,PS4,2014,0.47,0.8,0.03,0.29,1.58
1391,Doom (2016),PS4,2016,0.49,0.66,0.02,0.22,1.39
1470,Rage,PS3,2011,0.47,0.59,0.06,0.21,1.33
2001,Brink,X360,2011,0.59,0.35,0.01,0.09,1.04
2775,Brink,PS3,2011,0.29,0.32,0.01,0.12,0.74
2993,Doom (2016),XOne,2016,0.39,0.23,0,0.06,0.68
3020,Wolfenstein: The New Order,XOne,2014,0.33,0.28,0,0.06,0.67
3234,Wet,PS3,2009,0.22,0.27,0.01,0.11,0.63
3438,Doom 3 BFG Edition,PS3,2012,0.26,0.22,0,0.1,0.59
3945,Wolfenstein: The New Order,PS3,2014,0.14,0.25,0.02,0.09,0.51
3954,Wet,X360,N/A,0.23,0.21,0.01,0.05,0.5
4051,Doom 3 BFG Edition,X360,2012,0.28,0.17,0,0.04,0.49
4246,Wolfenstein: The New Order,PC,2014,0.12,0.29,0,0.05,0.46
4704,Wolfenstein: The New Order,X360,2014,0.18,0.19,0,0.04,0.41
5120,Rage,PC,2011,0.14,0.18,0,0.06,0.37
8132,Brink,PC,2011,0.06,0.09,0,0.03,0.18
8140,Doom (2016),PC,2016,0.06,0.1,0,0.01,0.18
9265,Rogue Warrior,PS3,2009,0.11,0.02,0,0.01,0.14
10304,Rogue Warrior,X360,2009,0.09,0.01,0,0.01,0.11
14519,Doom 3 BFG Edition,PC,2012,0,0.02,0,0.01,0.03
