Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
439,Resident Evil 6,PS3,2012,0.88,0.97,0.88,0.42,3.15
859,Resident Evil 6,X360,2012,1.11,0.63,0.07,0.16,1.98
1459,Lost Planet: Extreme Condition,X360,2006,1.09,0.04,0.1,0.11,1.34
2061,1942,NES,1985,0.65,0.14,0.21,0,1
2162,Lost Planet 2,PS3,2010,0.29,0.34,0.2,0.13,0.96
2699,Lost Planet 2,X360,2010,0.38,0.24,0.08,0.06,0.76
3148,Lost Planet: Extreme Condition,PS3,2008,0.31,0.17,0.07,0.09,0.64
7194,Dino Stalker,PS2,2002,0.07,0.06,0.08,0.02,0.22
7290,Lost Planet 3,PS3,2013,0.07,0.06,0.06,0.03,0.22
9780,Lost Planet 3,X360,2013,0.07,0.04,0.01,0.01,0.12
9960,UN Squadron,SNES,1991,0,0,0.12,0,0.12
10959,Resident Evil Chronicles HD,PS3,2012,0,0,0.09,0,0.09
11593,P.N.03 - Product Number Three,GC,2003,0.06,0.02,0,0,0.08
11895,E.X. Troopers,3DS,2012,0,0,0.07,0,0.07
12135,Resident Evil 6,PS4,2016,0.05,0,0,0.01,0.07
13292,E.X. Troopers,PS3,2012,0,0,0.05,0,0.05
13501,Resident Evil 6,PC,2012,0,0.04,0,0.01,0.04
13688,Lost Planet 3,PC,2013,0,0.03,0,0.01,0.04
13952,Resident Evil 6,XOne,2016,0.03,0,0,0,0.04
14000,Without Warning,PS2,2005,0.02,0.01,0,0,0.04
14140,Resident Evil 4 HD,PS4,2016,0.03,0,0,0.01,0.03
14753,Gotcha Force,GC,2003,0.01,0,0.01,0,0.03
14791,Lost Planet 2,PC,2010,0,0.02,0,0.01,0.03
15720,Without Warning,XB,N/A,0.01,0,0,0,0.02
16572,Resident Evil 4 HD,XOne,2016,0.01,0,0,0,0.01
