Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2221,Operation Flashpoint: Dragon Rising,X360,2009,0.36,0.45,0.02,0.1,0.93
2274,Operation Flashpoint: Dragon Rising,PS3,2009,0.23,0.46,0.05,0.17,0.92
3620,Soldier of Fortune: Gold Edition,PS2,2001,0.27,0.21,0,0.07,0.56
5442,Operation Flashpoint: Red River,PS3,2011,0.06,0.15,0.07,0.05,0.33
5678,Clive Barker's Jericho,X360,2007,0.28,0.01,0,0.02,0.32
6038,Turning Point: Fall of Liberty,X360,2008,0.23,0.04,0,0.02,0.29
6050,Operation Flashpoint: Red River,X360,2011,0.1,0.15,0.01,0.03,0.29
6764,Turning Point: Fall of Liberty,PS3,2008,0.21,0.01,0,0.02,0.25
7572,Clive Barker's Jericho,PS3,2007,0.17,0.01,0,0.02,0.2
8884,Star Trek: Voyager Elite Force,PS2,2001,0.07,0.06,0,0.02,0.15
9761,Bodycount,PS3,2011,0.05,0.06,0,0.02,0.12
10085,Bodycount,X360,2011,0.07,0.03,0,0.01,0.11
11004,Damnation,PS3,2009,0.07,0.01,0,0.01,0.09
11918,Operation Flashpoint: Red River,PC,2011,0.01,0.04,0,0.01,0.07
11943,Damnation,X360,2009,0.06,0.01,0,0.01,0.07
13021,Nanostray 2,DS,2008,0.03,0.01,0,0,0.05
13183,Operation Flashpoint: Dragon Rising,PC,2009,0.01,0.03,0,0.01,0.05
13488,Operation Flashpoint: Elite,XB,2005,0.03,0.01,0,0,0.04
16436,Clive Barker's Jericho,PC,2007,0,0.01,0,0,0.01
16580,Damnation,PC,2009,0,0.01,0,0,0.01
