Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3646,Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~,PS,2001,0.31,0.21,0,0.04,0.55
4101,Dark Sector,X360,2008,0.22,0.2,0.01,0.05,0.48
4154,Dark Sector,PS3,2008,0.23,0.16,0.01,0.07,0.47
5192,Earth Defense Force 2025,PS3,2013,0.04,0.03,0.27,0.02,0.36
7559,Earth Defense Force: Insect Armageddon,PS3,2011,0.06,0.04,0.08,0.02,0.2
7946,Earth Defense Force: Insect Armageddon,X360,2011,0.1,0.05,0.03,0.01,0.19
8838,Earth Defense Force 2025,X360,2013,0.06,0.04,0.05,0.01,0.15
9439,Eat Lead: The Return of Matt Hazard,PS3,2009,0.09,0.02,0,0.01,0.13
9647,Eat Lead: The Return of Matt Hazard,X360,2009,0.1,0.01,0,0.01,0.13
11446,Bangai-O Spirits,DS,2008,0.07,0,0,0.01,0.08
11923,Dream Trigger 3D,3DS,N/A,0.04,0.02,0,0.01,0.07
15885,Earth Defense Force 2017 (old JP sales),X360,2006,0,0,0.02,0,0.02
