Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2571,Hitman: Contracts,PS2,2004,0.39,0.31,0,0.1,0.8
2713,Kane & Lynch: Dead Men,X360,2007,0.36,0.31,0.01,0.08,0.76
2721,Kane & Lynch: Dead Men,PS3,2007,0.29,0.32,0.01,0.13,0.76
2936,TimeSplitters 2,PS2,2002,0.34,0.27,0,0.09,0.7
3163,TimeSplitters 2,XB,2002,0.29,0.33,0,0.01,0.64
4476,TimeSplitters 2,GC,2002,0.34,0.09,0,0.01,0.44
4518,TimeSplitters,PS2,2000,0.21,0.17,0,0.06,0.43
4578,25 to Life,PS2,2006,0.35,0.01,0,0.06,0.42
5381,Hitman: Contracts,XB,2004,0.26,0.07,0,0.01,0.34
5476,Deus Ex: Invisible War,XB,2003,0.25,0.07,0,0.01,0.33
6218,Mister Mosquito,PS2,2001,0.05,0.04,0.17,0.01,0.28
7239,Touch the Dead,DS,2007,0.2,0,0,0.02,0.22
7245,Shellshock: Nam '67,XB,2004,0.16,0.05,0,0.01,0.22
7750,Conflict: Denied Ops,X360,2008,0.08,0.09,0,0.02,0.19
7806,Conflict: Denied Ops,PS3,2008,0.05,0.1,0,0.03,0.19
7887,Conflict: Global Terror,PS2,2005,0.09,0.07,0,0.02,0.19
8431,25 to Life,XB,2006,0.12,0.04,0,0.01,0.17
10210,Bionicle Heroes,GC,2006,0.08,0.02,0,0,0.11
10753,"Blast Works: Build, Trade, Destroy",Wii,2008,0.09,0,0,0.01,0.1
10974,Total Overdose: A Gunslinger's Tale in Mexico,PS2,2005,0.04,0.04,0,0.01,0.09
11171,ShellShock 2: Blood Trails,X360,2009,0.05,0.03,0,0.01,0.09
11367,ShellShock 2: Blood Trails,PS3,2009,0.04,0.03,0,0.01,0.08
11959,Machine Head,PS,1996,0.04,0.03,0,0,0.07
11963,Bionicle Heroes,X360,2006,0.05,0.01,0,0.01,0.07
12340,Bionicle Heroes,DS,2006,0.06,0,0,0,0.06
12545,Commandos: Strike Force,PS2,2006,0.03,0.02,0,0.01,0.06
12670,Urban Chaos: Riot Response,PS2,2006,0.03,0.02,0,0.01,0.06
13484,Bionicle Heroes,Wii,2007,0.04,0,0,0,0.04
13529,Rogue Trooper,PS2,2006,0.02,0.02,0,0.01,0.04
14968,Chili Con Carnage,PSP,2007,0,0.02,0,0.01,0.02
14992,Total Overdose: A Gunslinger's Tale in Mexico,XB,2005,0.02,0.01,0,0,0.02
15159,Commandos: Strike Force,XB,2006,0.02,0,0,0,0.02
15537,Urban Chaos: Riot Response,XB,2006,0.01,0,0,0,0.02
15677,Rogue Trooper,XB,2006,0.01,0,0,0,0.02
16259,Conflict: Denied Ops,PC,2008,0,0.01,0,0,0.01
