Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
93,Star Wars Battlefront (2015),PS4,2015,2.93,3.29,0.22,1.23,7.67
100,Battlefield 3,X360,2011,4.46,2.13,0.06,0.69,7.34
104,Battlefield 3,PS3,2011,2.85,2.93,0.35,1.1,7.23
115,Medal of Honor: Frontline,PS2,2002,2.93,2.75,0.17,0.99,6.83
191,Medal of Honor: Rising Sun,PS2,2003,1.98,2.23,0.13,0.8,5.13
302,Left 4 Dead 2,X360,2009,2.67,0.89,0.05,0.37,3.99
337,Battlefield 4,PS3,2013,1.3,1.51,0.27,0.61,3.69
364,James Bond 007: Agent Under Fire,PS2,2001,1.9,1.13,0.1,0.41,3.53
366,Battlefield 4,X360,2013,2.14,1.08,0.02,0.29,3.53
370,Left 4 Dead,X360,2008,2.66,0.5,0.05,0.3,3.52
379,Star Wars Battlefront (2015),XOne,2015,1.94,1.22,0.02,0.31,3.49
380,Battlefield: Bad Company 2,X360,2010,2.09,1.02,0.04,0.32,3.48
387,Battlefield 4,PS4,2013,1.34,1.54,0.17,0.38,3.43
404,James Bond 007: Nightfire,PS2,2002,1.45,1.29,0.12,0.46,3.33
421,007: Tomorrow Never Dies,PS,1999,1.72,1.33,0,0.16,3.21
478,Battlefield: Bad Company 2,PS3,2010,1.33,1.12,0.08,0.45,2.97
495,Titanfall,XOne,2014,1.84,0.8,0.04,0.22,2.9
518,Medal of Honor,PS3,2010,1.28,1.05,0.07,0.43,2.83
534,Battlefield 3,PC,2011,0.89,1.43,0,0.48,2.79
568,Medal of Honor,PS,1998,1.44,1.09,0,0.14,2.67
573,Medal of Honor Heroes,PSP,2006,0.86,1.11,0.01,0.66,2.65
583,Medal of Honor,X360,2010,1.55,0.81,0.04,0.21,2.62
687,James Bond 007: Everything or Nothing,PS2,2004,0.85,1.06,0.09,0.32,2.31
799,Battlefield: Hardline,PS4,2015,0.7,0.93,0.14,0.32,2.09
858,Battlefield 4,XOne,2013,1.25,0.58,0,0.16,1.98
918,Medal of Honor: European Assault (All Region sales),PS2,2005,0.89,0.69,0.09,0.21,1.88
951,The Orange Box,X360,2007,1.09,0.54,0.02,0.17,1.83
1113,Army of Two,X360,2008,1.09,0.38,0.02,0.16,1.65
1230,Dead Space 2,X360,2011,0.94,0.45,0,0.13,1.52
1270,Medal of Honor: Frontline,XB,2002,1,0.43,0,0.06,1.49
1302,Battlefield: Bad Company,X360,2008,0.81,0.46,0.04,0.15,1.46
1345,Dead Space 2,PS3,2011,0.73,0.5,0,0.21,1.44
1388,Battlefield 4,PC,2013,0.38,0.86,0,0.16,1.4
1405,Titanfall,X360,2014,0.87,0.38,0.02,0.11,1.38
1434,Dead to Rights,PS2,2002,0.67,0.52,0,0.17,1.36
1445,Battlefield: Bad Company,PS3,2008,0.76,0.36,0.05,0.18,1.35
1594,Black,PS2,2006,1.01,0.04,0.03,0.16,1.25
1621,Medal of Honor: Airborne,PS3,2007,0.25,0.7,0.03,0.25,1.23
1674,Battlefield: Hardline,XOne,2015,0.72,0.37,0.01,0.11,1.2
1722,Army of Two,PS3,2008,0.74,0.26,0.02,0.15,1.17
1735,Medal of Honor: Rising Sun,XB,2003,0.76,0.36,0,0.05,1.17
1757,Medal of Honor Heroes 2,PSP,2007,0.5,0.39,0.02,0.25,1.16
1762,Plants vs. Zombies: Garden Warfare,X360,2014,0.51,0.54,0,0.1,1.16
1851,Medal of Honor: Airborne,X360,2007,0.45,0.53,0.01,0.12,1.1
1864,NERF N-Strike,Wii,2008,0.92,0.09,0,0.09,1.1
1906,The Orange Box,PS3,2007,0.28,0.59,0,0.22,1.08
1951,Mercenaries 2: World in Flames,X360,2008,0.65,0.3,0.01,0.1,1.06
2027,Bulletstorm,X360,2011,0.61,0.32,0.01,0.08,1.02
2056,NERF N-Strike Elite,Wii,2009,0.93,0,0,0.07,1
2149,Medal of Honor: Underground,PS,2000,0.54,0.37,0,0.06,0.97
2192,Army of Two: The 40th Day,X360,2010,0.62,0.24,0,0.08,0.95
2264,Crysis 3,X360,2013,0.51,0.33,0.01,0.08,0.92
2306,Crysis 3,PS3,2013,0.26,0.43,0.03,0.18,0.9
2315,James Bond 007: Agent Under Fire,XB,2002,0.65,0.22,0,0.03,0.9
2385,Mercenaries 2: World in Flames,PS3,2008,0.29,0.4,0.02,0.16,0.87
2439,Army of Two: The 40th Day,PS3,2010,0.44,0.27,0.01,0.12,0.85
2506,James Bond 007: Nightfire,XB,2002,0.58,0.22,0,0.03,0.82
2655,James Bond 007: Nightfire,GC,2002,0.6,0.16,0,0.02,0.78
2690,Plants vs. Zombies: Garden Warfare,PS3,2014,0.22,0.4,0.01,0.14,0.76
2825,James Bond 007: Agent Under Fire,GC,2002,0.56,0.15,0,0.02,0.72
2836,Dead to Rights,XB,2002,0.53,0.17,0,0.03,0.72
2857,Crysis,PC,2007,0,0.69,0,0.03,0.72
2858,Battlefield: Bad Company 2,PC,2010,0.19,0.53,0,0,0.71
2974,Plants vs. Zombies: Garden Warfare,XOne,2014,0.39,0.23,0,0.06,0.68
3134,Crysis 3,PC,2013,0.17,0.39,0,0.09,0.64
3146,GoldenEye: Rogue Agent,PS2,2004,0.54,0.02,0,0.09,0.64
3152,James Bond 007: Everything or Nothing,XB,2004,0.43,0.19,0,0.02,0.64
3289,Plants vs. Zombies: Garden Warfare,PS4,2014,0.21,0.29,0.01,0.11,0.61
3310,Half-Life 2,XB,2005,0.37,0.21,0,0.03,0.61
3395,Medal of Honor: Frontline,GC,2002,0.46,0.12,0,0.02,0.59
3459,Titanfall,PC,2014,0.21,0.3,0,0.07,0.58
3583,Battlefield 2: Modern Combat,XB,2005,0.39,0.15,0,0.02,0.56
3757,Star Wars Battlefront (2015),PC,2015,0.13,0.37,0,0.04,0.54
3790,Medal of Honor: European Assault,XB,2005,0.32,0.19,0,0.02,0.53
3803,Bulletstorm,PS3,2011,0.23,0.2,0.01,0.08,0.53
3860,Freedom Fighters,PS2,2003,0.25,0.2,0,0.07,0.52
4036,GoldenEye: Rogue Agent,XB,2004,0.34,0.13,0,0.02,0.49
4050,Medal of Honor,PC,2010,0.2,0.23,0,0.07,0.49
4079,Battlefield: Hardline,PS3,2015,0.12,0.23,0.07,0.07,0.49
4085,Dead Space Extraction,Wii,2009,0.33,0.11,0.01,0.04,0.48
4352,Plants vs. Zombies: Garden Warfare 2,PS4,2016,0.17,0.21,0,0.07,0.45
