Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2834,Area 51,PS,1996,0.4,0.27,0,0.05,0.72
3311,Duke Nukem: Total Meltdown,PS,1997,0.34,0.23,0,0.04,0.61
4454,Duke Nukem 64,N64,1997,0.35,0.08,0,0.01,0.44
6401,Final Doom,PS,1995,0.15,0.1,0,0.02,0.27
6526,Duke Nukem: Zero Hour,N64,1999,0.21,0.05,0,0,0.26
7861,Hexen,N64,1996,0.15,0.04,0,0,0.19
7866,Quake,N64,1998,0.15,0.04,0,0,0.19
10178,Maximum Force,PS,1997,0.06,0.04,0,0.01,0.11
10316,Hexen: Beyond Heretic,PS,1997,0.06,0.04,0,0.01,0.11
11051,Robotron 64,N64,1998,0.07,0.02,0,0,0.09
11194,Invasion From Beyond,PS,1998,0.05,0.03,0,0.01,0.09
11385,Robotron X,PS,1996,0.05,0.03,0,0.01,0.08
