Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1429,Gradius,NES,1986,0.27,0.08,1,0.01,1.36
1677,TwinBee,NES,1986,0,0,1.2,0,1.2
2746,Zone of the Enders,PS2,2001,0.3,0.24,0.13,0.08,0.75
2750,Coded Arms,PSP,2005,0.28,0.29,0,0.18,0.75
3017,Contra: Legacy of War,PS,1996,0.37,0.25,0,0.04,0.67
3481,Contra: Shattered Soldier,PS2,2002,0.28,0.22,0,0.07,0.58
5034,Silent Scope,PS2,2000,0.19,0.15,0,0.05,0.38
5535,Parodius,PS,1994,0,0,0.31,0.02,0.33
5713,Contra 4,DS,2007,0.28,0,0.01,0.02,0.31
6752,Project Overkill,PS,1996,0.14,0.09,0,0.02,0.25
7368,Neo Contra,PS2,2004,0.1,0.08,0,0.03,0.21
7823,Silent Scope 2: Dark Silhouette,PS2,2001,0.09,0.07,0,0.02,0.19
8045,AirForce Delta Storm,XB,2001,0.14,0.04,0,0.01,0.18
8102,Gokujou Parodius,SNES,1994,0,0,0.18,0,0.18
8462,Parodius,SAT,1995,0,0,0.16,0,0.17
8562,Silent Scope 3,PS2,2002,0.08,0.06,0,0.02,0.16
9444,Contra III: The Alien Wars,SNES,1992,0,0,0.13,0,0.13
9453,NeverDead,PS3,2012,0.06,0.04,0.01,0.02,0.13
9642,Detana TwinBee Yahho! Deluxe Pack,SAT,1995,0,0,0.13,0,0.13
9851,Famicom Mini: TwinBee,GBA,2004,0,0,0.12,0,0.12
10157,Contra Advance: The Alien Wars EX,GBA,2002,0.08,0.03,0,0,0.11
10659,Silent Scope Complete,XB,2004,0.07,0.02,0,0,0.1
10691,NeverDead,X360,2012,0.06,0.03,0,0.01,0.1
10876,Gradius V,PS2,2004,0.05,0.04,0,0.01,0.09
11065,Detana TwinBee Yahho! Deluxe Pack,PS,1995,0,0,0.08,0.01,0.09
11129,Lethal Enforcers,SNES,1993,0,0,0.09,0,0.09
11354,Gradius Galaxies,GBA,2001,0.06,0.02,0,0,0.08
11498,Gradius III and IV,PS2,2000,0.04,0.03,0,0.01,0.08
11795,Winx Club,GBA,2005,0.05,0.02,0,0,0.07
12040,Target: Terror,Wii,2008,0.06,0,0,0.01,0.07
12224,C: The Contra Adventure,PS,1998,0.04,0.02,0,0,0.07
12262,Gradius Collection,PSP,2006,0.04,0,0.02,0,0.06
12462,Coded Arms: Contagion,PSP,2007,0.05,0,0,0.01,0.06
13220,Jikkyou Oshaberi Parodius,SNES,1995,0,0,0.05,0,0.05
13902,Crypt Killer,PS,1997,0.02,0.01,0,0,0.04
14139,Silent Scope,GBA,2002,0.02,0.01,0,0,0.03
14399,Otomedius Gorgeous,X360,2008,0,0,0.03,0,0.03
14478,Lethal Enforcers I & II,PS,1996,0.02,0.01,0,0,0.03
15012,AirForce Delta Storm,GBA,2002,0.02,0.01,0,0,0.02
15856,Dragon Booster,DS,2005,0.02,0,0,0,0.02
