Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
44,Halo 3,X360,2007,7.97,2.83,0.13,1.21,12.14
63,Halo: Reach,X360,2010,7.03,1.98,0.08,0.78,9.88
66,Halo 4,X360,2012,6.63,2.36,0.04,0.73,9.76
80,Halo 2,XB,2004,6.82,1.53,0.05,0.08,8.49
119,Gears of War 2,X360,2008,4.15,1.92,0.06,0.64,6.76
130,Halo: Combat Evolved,XB,2001,4.98,1.3,0.08,0.07,6.43
134,Halo 3: ODST,X360,2009,4.34,1.35,0.06,0.61,6.36
141,Gears of War 3,X360,2011,4.05,1.62,0.07,0.49,6.24
142,Gears of War,X360,2006,3.54,1.9,0.07,0.6,6.11
261,Halo 5: Guardians,XOne,2015,2.64,1.2,0.03,0.39,4.26
440,Halo: The Master Chief Collection,XOne,2014,1.89,0.99,0.03,0.24,3.15
468,Gears of War: Ultimate Edition,XOne,2015,2.38,0.32,0,0.31,3
633,Halo: Combat Evolved Anniversary,X360,2011,1.44,0.73,0.04,0.22,2.44
1009,Crackdown,X360,2007,1,0.54,0.03,0.18,1.75
1143,Gears of War: Judgment,X360,2013,0.92,0.53,0.03,0.13,1.61
1822,Crackdown 2,X360,2010,0.63,0.37,0.02,0.1,1.12
1833,Counter-Strike,XB,2003,0.85,0.23,0,0.04,1.11
1838,Sunset Overdrive,XOne,2014,0.62,0.4,0,0.08,1.11
2490,Brute Force,XB,2003,0.62,0.18,0.01,0.03,0.83
2661,Perfect Dark Zero,X360,2005,0.66,0.02,0.03,0.06,0.77
2951,Halo 2 Multiplayer Map Pack,XB,2005,0.54,0.13,0,0.02,0.69
3539,Blood Wake,XB,2001,0.43,0.12,0,0.02,0.57
4772,The Gunstringer,X360,2011,0.26,0.11,0,0.04,0.41
8685,Halo Triple Pack,XB,2005,0.12,0.03,0,0.01,0.16
8777,Project Sylpheed: Arc of Deception,X360,2006,0.12,0.01,0.02,0.01,0.15
10818,Halo 2,PC,2007,0.01,0.06,0,0.02,0.1
13886,Halo: Combat Evolved,PC,2003,0.01,0.02,0,0.01,0.04
15784,Gears of War,PC,2007,0,0.01,0,0,0.02
