Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2526,Stranglehold,X360,2007,0.4,0.33,0.01,0.09,0.82
3009,Unreal Tournament III,PS3,2007,0.33,0.24,0,0.11,0.67
3508,Blacksite: Area 51,X360,2007,0.29,0.23,0,0.06,0.57
4155,Unreal Tournament III,X360,2008,0.25,0.17,0.01,0.05,0.47
4192,Doom 64,N64,1997,0.38,0.08,0,0.01,0.47
4341,Area 51,PS2,2005,0.22,0.17,0,0.06,0.45
5180,NARC,PS2,2005,0.18,0.14,0,0.05,0.36
5838,Stranglehold,PS3,2007,0.24,0.03,0,0.03,0.3
6011,Area 51,XB,2005,0.22,0.06,0,0.01,0.29
6081,Psi-Ops: The Mindgate Conspiracy,PS2,2004,0.14,0.11,0,0.04,0.29
6155,Unreal Championship 2: The Liandri Conflict,XB,N/A,0.22,0.05,0,0.01,0.28
8025,NARC,XB,2005,0.14,0.04,0,0.01,0.18
8286,Psi-Ops: The Mindgate Conspiracy,XB,2004,0.13,0.04,0,0.01,0.17
9537,Hour of Victory,X360,2007,0.1,0.01,0,0.01,0.13
11221,Blacksite: Area 51,PS3,2007,0.07,0.01,0,0.01,0.09
12398,Unreal Tournament III,PC,2007,0,0.05,0,0.01,0.06
15083,Unreal Anthology,PC,2006,0,0.02,0,0,0.02
