Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
10,Duck Hunt,NES,1984,26.93,0.63,0.28,0.47,28.31
85,GoldenEye 007,N64,1997,5.8,2.01,0.13,0.15,8.09
207,Link's Crossbow Training,Wii,2007,3.06,1.18,0.29,0.46,5
236,Splatoon,WiiU,2015,1.55,1.15,1.44,0.43,4.57
297,Star Fox 64,N64,1997,2.78,0.58,0.64,0.04,4.03
473,Star Fox,SNES,1993,1.61,0.51,0.8,0.07,2.99
520,Metroid Prime,GC,2002,1.96,0.67,0.1,0.09,2.82
957,Metroid Prime 3: Corruption,Wii,2007,0.91,0.74,0.07,0.09,1.82
1110,Super Scope 6,SNES,1991,1.06,0.38,0.15,0.05,1.65
1478,Metroid Prime 2: Echoes,GC,2004,0.87,0.35,0.07,0.04,1.33
1562,Hogan's Alley,NES,1984,0.68,0.16,0.41,0.02,1.27
1680,SolarStriker,GB,1989,0.4,0.39,0.36,0.04,1.2
1752,Jet Force Gemini,N64,1999,0.78,0.28,0.07,0.02,1.16
1916,Star Fox: Assault,GC,2005,0.68,0.18,0.19,0.03,1.08
2199,Star Fox 64 3D,3DS,2011,0.48,0.27,0.13,0.07,0.94
2634,Metroid Prime Hunters,DS,2006,0.58,0.04,0.11,0.06,0.78
3216,Metroid Prime: Trilogy,Wii,2009,0.43,0.05,0,0.14,0.63
3742,Star Fox Command,DS,2006,0.39,0.01,0.1,0.04,0.54
4455,Sin and Punishment: Star Successor,Wii,2009,0.2,0.14,0.06,0.04,0.44
5290,Star Fox: Zero,WiiU,2016,0.16,0.1,0.07,0.03,0.35
6769,Classic NES Series: Xevious,GBA,2004,0.08,0.03,0.12,0.01,0.25
7096,Super R-Type,SNES,1991,0,0,0.23,0,0.23
9481,Sin and Punishment,N64,2000,0,0,0.13,0,0.13
11516,Famicom Mini: Star Soldier,GBA,2004,0,0,0.08,0,0.08
15000,Wii de Asobu: Metroid Prime,Wii,N/A,0,0,0.02,0,0.02
15002,Wii de Asobu: Metroid Prime,Wii,N/A,0,0,0.02,0,0.02
