Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1296,The House of the Dead 2 & 3 Return,Wii,2008,0.78,0.5,0.03,0.15,1.47
1814,Alien: Isolation,PS4,2014,0.34,0.56,0.04,0.19,1.13
1941,Aliens vs Predator,X360,2010,0.55,0.4,0,0.11,1.06
1970,Aliens vs Predator,PS3,2010,0.41,0.47,0,0.18,1.05
2393,The House of the Dead: Overkill,Wii,2009,0.46,0.31,0.02,0.09,0.87
2574,Aliens: Colonial Marines,X360,2013,0.36,0.37,0,0.07,0.8
2617,Ghost Squad,Wii,2007,0.42,0.21,0.08,0.07,0.79
3141,Aliens: Colonial Marines,PS3,2013,0.2,0.31,0,0.13,0.64
3239,Virtua Cop,SAT,1995,0,0,0.62,0,0.62
3244,Vanquish,PS3,2010,0.21,0.22,0.11,0.09,0.62
3308,Yakuza: Dead Souls,PS3,2011,0.09,0.07,0.42,0.03,0.61
3443,The Conduit,Wii,2009,0.29,0.23,0,0.06,0.58
3997,Alien: Isolation,XOne,2014,0.22,0.24,0,0.04,0.5
4610,Vanquish,X360,2010,0.19,0.17,0.03,0.04,0.42
4902,The House of The Dead III,XB,2002,0.29,0.08,0,0.01,0.39
5079,The House of the Dead: Overkill - Extended Cut,PS3,2011,0.15,0.17,0,0.06,0.38
5089,Alien: Isolation,PS3,2014,0.12,0.19,0,0.07,0.37
5118,Panzer Dragoon,SAT,1995,0,0,0.37,0,0.37
5374,Iron Storm,SAT,1995,0,0,0.34,0,0.34
5747,Panzer Dragoon II Zwei,SAT,1995,0,0,0.31,0,0.31
5829,Alien: Isolation,X360,2014,0.15,0.13,0,0.03,0.3
5831,Virtua Cop 2,SAT,1996,0,0,0.3,0,0.3
6309,The Club,X360,2008,0.15,0.1,0,0.02,0.27
6452,The House of the Dead 2,DC,1998,0,0,0.26,0,0.26
6457,Panzer Dragoon Orta,XB,2002,0.16,0.05,0.04,0.01,0.26
6998,The Club,PS3,2008,0.14,0.07,0,0.03,0.23
7266,Full Auto,X360,2006,0.19,0.01,0,0.02,0.22
7649,Wing Arms,SAT,1994,0,0,0.2,0,0.2
7763,Aliens vs Predator,PC,2010,0,0.17,0,0.02,0.19
8116,Aliens: Colonial Marines,PC,2013,0.1,0.06,0,0.02,0.18
8962,Alien: Isolation,PC,2014,0,0.13,0,0.01,0.15
9495,The House of the Dead,SAT,1997,0,0,0.13,0,0.13
9563,Gunstar Heroes,GEN,1992,0,0,0.13,0,0.13
9654,Conduit 2,Wii,2011,0.07,0.04,0,0.01,0.13
11609,Gunblade NY & L.A. Machineguns Arcade Hits Pack,Wii,2010,0.06,0.01,0,0.01,0.08
12222,Gunstar Super Heroes,GBA,2005,0.05,0.02,0,0,0.07
12353,Robotica,SAT,1994,0,0,0.06,0,0.06
13069,The Typing of the Dead,DC,2000,0,0,0.05,0,0.05
13767,Sega Ages 2500 Series Vol. 33: Fantasy Zone Complete Collection,PS2,2008,0,0,0.04,0,0.04
15876,Thunder Force VI,PS2,2008,0,0,0.02,0,0.02
