Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
254,Resistance: Fall of Man,PS3,2006,1.73,1.73,0.14,0.75,4.35
272,Uncharted 4: A Thief's End,PS4,2016,1.3,2.07,0.18,0.65,4.2
343,SOCOM: U.S. Navy SEALs,PS2,2002,2.53,0.81,0.06,0.24,3.65
464,Killzone 2,PS3,2009,1.4,1.07,0.08,0.47,3.02
486,SOCOM II: U.S. Navy SEALs,PS2,2003,2.22,0.51,0.06,0.15,2.94
503,Syphon Filter,PS,1999,2.03,0.72,0.02,0.11,2.88
529,Killzone 3,PS3,2011,1.45,0.88,0.09,0.38,2.79
594,Killzone: Shadow Fall,PS4,2013,0.89,1.33,0.07,0.28,2.58
621,Resistance 2,PS3,2008,1.15,0.85,0.1,0.39,2.48
759,Syphon Filter 2,PS,2000,1.5,0.55,0.02,0.08,2.15
834,SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006,1.74,0.02,0,0.28,2.04
1025,Uncharted: Golden Abyss,PSV,2011,0.59,0.75,0.13,0.27,1.74
1035,The Order: 1886,PS4,2015,0.61,0.78,0.06,0.27,1.72
1059,SOCOM 3: U.S. Navy SEALs,PS2,2005,1.22,0.34,0.04,0.1,1.69
1254,Resistance 3,PS3,2011,0.64,0.58,0.05,0.23,1.5
1496,MAG: Massive Action Game,PS3,2010,0.77,0.3,0.09,0.16,1.32
1584,SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,0.94,0.17,0.02,0.13,1.25
1599,Ratchet: Deadlocked,PS2,2005,0.85,0.03,0.22,0.14,1.24
1827,SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005,1.03,0,0.01,0.08,1.12
1968,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006,0.81,0.11,0,0.13,1.05
2196,Killzone,PS2,2004,0.79,0.03,0,0.13,0.94
2300,SOCOM 4: U.S. Navy SEALs,PS3,2011,0.66,0.12,0.04,0.08,0.9
2310,Resistance: Retribution,PSP,2009,0.27,0.36,0.05,0.22,0.9
2328,Killzone: Liberation,PSP,2006,0.44,0.28,0,0.18,0.89
2710,Syphon Filter: The Omega Strain,PS2,2004,0.37,0.29,0,0.1,0.76
2901,Ratchet & Clank: Into the Nexus,PS3,2013,0.3,0.29,0,0.11,0.71
2913,Kill.Switch,PS2,2003,0.34,0.27,0,0.09,0.7
3653,Unit 13,PSV,2012,0.29,0.15,0.04,0.07,0.55
3837,Syphon Filter 3,PS,2001,0.29,0.2,0,0.03,0.52
3872,Omega Boost,PS,1999,0.17,0.11,0.2,0.03,0.52
4241,Syphon Filter: Logan's Shadow,PSP,2007,0.25,0.12,0,0.09,0.46
4329,Resistance: Burning Skies,PSV,2012,0.21,0.16,0.02,0.07,0.45
4384,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PSP,2010,0.17,0.13,0.06,0.08,0.45
5103,Kileak: The DNA Imperative,PS,1994,0.08,0.06,0.21,0.02,0.37
5266,SOCOM: Tactical Strike,PSP,2007,0.32,0.01,0,0.03,0.35
5319,The Shoot,PS3,2010,0.13,0.16,0.01,0.06,0.35
5408,Point Blank,PS,1997,0.05,0.03,0.23,0.02,0.34
5961,Syphon Filter: Dark Mirror,PSP,2006,0.26,0.01,0,0.03,0.29
6175,Syphon Filter: Dark Mirror,PS2,2007,0.14,0.11,0,0.04,0.28
8669,StarBlade α,PS,1995,0,0,0.15,0.01,0.16
9099,Xevious 3D/G+,PS,1997,0.01,0.01,0.11,0.01,0.14
9164,Epidemic,PS,1995,0.02,0.01,0.1,0.01,0.14
9302,Vampire Night,PS2,2001,0.07,0.05,0,0.02,0.14
10406,Project: Horned Owl,PS,1995,0.03,0.02,0.05,0.01,0.11
10972,Rapid Reload,PS,1995,0,0,0.09,0.01,0.09
12031,RayStorm,PS,1997,0.04,0.03,0,0,0.07
12647,Syphon Filter: Logan's Shadow,PS2,2010,0.03,0.02,0,0.01,0.06
12798,Elemental Gearbolt,PS,1997,0.03,0.02,0,0,0.06
12888,Rez,PS2,2001,0.03,0.02,0,0.01,0.05
13090,Philosoma,PS,1995,0.03,0.02,0,0,0.05
16184,Resistance Dual Pack,PS3,2011,0,0.01,0,0,0.01
