Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
899,Red Faction,PS2,2001,0.76,0.96,0,0.2,1.92
1258,Red Faction II,PS2,2002,0.49,0.78,0,0.23,1.5
1306,Homefront,X360,2011,0.83,0.48,0.02,0.12,1.46
2209,Destroy All Humans!,PS2,2005,0.78,0.03,0,0.13,0.94
2275,Homefront,PS3,2011,0.32,0.4,0.04,0.15,0.91
2383,Red Faction: Guerrilla,X360,2009,0.48,0.29,0.01,0.09,0.87
2747,Red Faction: Guerrilla,PS3,2009,0.33,0.28,0.02,0.12,0.75
3525,"Warhammer 40,000: Space Marine",X360,2011,0.25,0.27,0,0.06,0.57
3599,Frontlines: Fuel of War,X360,2008,0.34,0.15,0.01,0.05,0.56
3683,Metro 2033,X360,2010,0.22,0.24,0.03,0.05,0.55
4229,Iridion 3D,GBA,2001,0.33,0.12,0,0.01,0.46
4232,Destroy All Humans!,XB,2005,0.34,0.11,0,0.02,0.46
4247,"Warhammer 40,000: Space Marine",PS3,2011,0.13,0.25,0,0.09,0.46
4307,Red Faction: Armageddon,PS3,2011,0.2,0.16,0.03,0.07,0.46
4920,Red Faction: Armageddon,X360,2011,0.18,0.17,0.01,0.04,0.39
6339,BloodRayne 2,PS2,2004,0.13,0.1,0,0.03,0.27
6796,Homefront,PC,2011,0.11,0.1,0,0.03,0.24
6839,Metro 2033,PC,2010,0,0.19,0,0.05,0.24
7362,50 Cent: Blood on the Sand,X360,2009,0.12,0.07,0,0.02,0.21
7534,"Warhammer 40,000: Space Marine",PC,2011,0.09,0.09,0,0.03,0.2
7802,50 Cent: Blood on the Sand,PS3,2009,0.1,0.06,0.01,0.03,0.19
8692,Infected,PSP,2005,0.14,0,0,0.01,0.16
8729,"Warhammer 40,000: Fire Warrior",PS2,2003,0.08,0.06,0,0.02,0.15
8879,BloodRayne 2,XB,2004,0.11,0.03,0,0.01,0.15
9258,In the Hunt,PS,1995,0.03,0.02,0.07,0.01,0.14
9529,Alter Echo,PS2,2003,0.06,0.05,0,0.02,0.13
9757,Red Faction II,XB,2003,0.09,0.03,0,0,0.12
11181,Red Faction: Armageddon,PC,2011,0.05,0.02,0,0.01,0.09
11844,G Darius,PS,1997,0.04,0.03,0,0,0.07
12624,S.T.A.L.K.E.R.: Shadow of Chernobyl,PC,2007,0.01,0.04,0,0.01,0.06
13187,Alter Echo,XB,2003,0.04,0.01,0,0,0.05
13425,Yager,XB,2003,0.03,0.01,0,0,0.05
13503,Dark Arena,GBA,2002,0.03,0.01,0,0,0.04
14172,Red Faction II,GC,2003,0.03,0.01,0,0,0.03
14207,Red Faction: Guerrilla,PC,2009,0,0.03,0,0.01,0.03
15108,Frontlines: Fuel of War,PC,2008,0,0.02,0,0,0.02
