Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
385,Borderlands,X360,2009,2.39,0.73,0.03,0.29,3.44
408,Max Payne,PS2,2001,1.99,1.05,0.05,0.22,3.31
454,Borderlands 2,X360,2012,1.89,0.91,0.04,0.24,3.07
516,BioShock,X360,2007,1.65,0.86,0.05,0.28,2.83
705,Borderlands 2,PS3,2012,1.05,0.77,0.1,0.36,2.28
732,BioShock 2,X360,2010,1.45,0.55,0.02,0.19,2.21
779,Borderlands,PS3,2009,1.2,0.62,0,0.29,2.11
810,Spec Ops: Airborne Commando,PS,2002,1.54,0.46,0,0.08,2.07
867,BioShock Infinite,X360,2013,1.22,0.57,0.02,0.15,1.96
910,Max Payne 3,PS3,2012,0.59,0.92,0.06,0.32,1.9
998,BioShock Infinite,PS3,2013,0.72,0.69,0.04,0.31,1.76
1103,Max Payne 3,X360,2012,0.86,0.64,0.01,0.14,1.66
1201,BioShock 2,PS3,2010,0.85,0.47,0.02,0.22,1.55
1320,BioShock,PS3,2008,0.75,0.49,0.01,0.21,1.45
1321,Red Dead Revolver,PS2,2004,0.71,0.55,0,0.19,1.45
1406,Duke Nukem: Time to Kill,PS,1998,0.77,0.54,0,0.07,1.38
1464,Max Payne 2: The Fall of Max Payne,PS2,2003,0.65,0.51,0,0.17,1.34
1648,Max Payne,XB,2001,0.98,0.19,0,0.05,1.22
2190,Evolve,PS4,2015,0.35,0.41,0.05,0.15,0.95
2226,Borderlands 2,PC,2012,0.42,0.41,0,0.11,0.93
2471,Duke Nukem Forever,X360,2011,0.52,0.25,0,0.07,0.84
2473,Borderlands: The Handsome Collection,PS4,2015,0.36,0.32,0.03,0.14,0.84
2488,Borderlands 2,PSV,2014,0.43,0.21,0.01,0.19,0.83
2668,Duke Nukem Forever,PS3,2011,0.33,0.31,0,0.12,0.77
2759,Borderlands: The Pre-Sequel,X360,2014,0.46,0.22,0.01,0.06,0.75
3014,The Darkness,PS3,2007,0.2,0.34,0,0.13,0.67
3036,BioShock Infinite,PC,2013,0.28,0.3,0,0.08,0.67
3049,Borderlands: The Pre-Sequel,PS3,2014,0.25,0.26,0.05,0.11,0.67
3144,Max Payne 2: The Fall of Max Payne,XB,2003,0.47,0.15,0,0.02,0.64
3254,Evolve,XOne,2015,0.36,0.2,0,0.06,0.62
3548,Spec Ops: The Line,PS3,2012,0.19,0.25,0.04,0.09,0.57
3687,Red Dead Revolver,XB,2004,0.4,0.12,0,0.02,0.55
4448,The Darkness,X360,2007,0.36,0.04,0.01,0.04,0.44
4502,Spec Ops: Covert Assault,PS,2001,0.24,0.16,0,0.03,0.43
4527,Spec Ops: The Line,X360,2012,0.21,0.19,0,0.04,0.43
4535,Max Payne 3,PC,2012,0.15,0.22,0,0.06,0.43
4691,BioShock,PC,2007,0.01,0.39,0,0.02,0.41
4764,Duke Nukem Forever,PC,2011,0.18,0.17,0,0.06,0.41
4771,Borderlands: The Handsome Collection,XOne,2015,0.24,0.13,0,0.04,0.41
4908,The Darkness II,X360,2012,0.24,0.12,0,0.03,0.39
5464,The Darkness II,PS3,2012,0.14,0.14,0,0.05,0.33
5611,Prey,X360,2006,0.27,0.03,0,0.03,0.32
5994,The Bureau: XCOM Declassified,PS3,2013,0.08,0.16,0,0.05,0.29
6073,Borderlands: The Pre-Sequel,PC,2014,0.11,0.15,0,0.03,0.29
6808,BioShock 2,PC,N/A,0.02,0.19,0,0.04,0.24
6945,The Bureau: XCOM Declassified,X360,2013,0.1,0.12,0,0.02,0.24
7135,Spec Ops: The Line,PC,2012,0.11,0.09,0,0.03,0.23
7182,Battleborn,PS4,2016,0.09,0.08,0.01,0.04,0.22
7653,BioShock The Collection,PS4,2016,0.05,0.11,0.01,0.03,0.2
8010,Close Combat: First to Fight,XB,2005,0.14,0.04,0,0.01,0.18
8029,Evolve,PC,2015,0.07,0.1,0,0.01,0.18
8035,Borderlands,PC,2009,0.01,0.14,0,0.04,0.18
8818,Serious Sam,XB,2002,0.11,0.03,0,0.01,0.15
9201,The Darkness II,PC,2012,0.1,0.03,0,0.01,0.14
9525,Borderlands: Double Game Add-On Pack,X360,2010,0.1,0.02,0,0.01,0.13
9648,Battleborn,XOne,2016,0.08,0.04,0,0.01,0.13
11552,BioShock The Collection,XOne,2016,0.03,0.04,0,0.01,0.08
12007,Battleborn,PC,2016,0.03,0.03,0,0.01,0.07
12497,Serious Sam II,XB,2005,0.05,0.01,0,0,0.06
12954,The Bureau: XCOM Declassified,PC,2013,0,0.05,0,0.01,0.05
14148,Prey,PC,2006,0,0.03,0,0.01,0.03
14714,Max Payne,GBA,2003,0.02,0.01,0,0,0.03
14725,Max Payne 2: The Fall of Max Payne,PC,2003,0,0.02,0,0,0.03
15142,Max Payne,PC,2001,0,0.02,0,0,0.02
16006,Serious Sam II,PC,2005,0,0.01,0,0,0.01
