Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
5627,Singularity,X360,N/A,0.24,0.05,0,0.02,0.32
6834,Singularity,PS3,N/A,0.17,0.04,0.01,0.03,0.24
7037,Tribes: Aerial Assault,PS2,N/A,0.11,0.09,0,0.03,0.23
7384,Robotech: Battlecry,XB,N/A,0.16,0.05,0,0.01,0.21
8138,Heavy Fire: Afghanistan,PS3,2011,0.17,0,0,0.01,0.18
8169,Otomedius Excellent,X360,N/A,0.13,0,0.04,0.01,0.18
12017,Drake of the 99 Dragons,XB,N/A,0.05,0.01,0,0,0.07
12533,Combat Elite: WWII Paratroopers,PS2,N/A,0.03,0.02,0,0.01,0.06
12535,Pheasants Forever Wingshooter,Wii,2010,0.03,0.02,0,0,0.06
12751,Tom Clancy's Rainbow Six: Critical Hour,XB,N/A,0.04,0.01,0,0,0.06
14476,Combat Elite: WWII Paratroopers,XB,N/A,0.02,0.01,0,0,0.03
15200,Saint,Wii,N/A,0.02,0,0,0,0.02
15551,Wild West Shootout,Wii,2010,0.01,0.01,0,0,0.02
