Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
282,Half-Life,PC,1997,4.03,0,0.09,0,4.12
667,Half-Life 2,PC,2004,2.28,0.02,0.08,0,2.37
3360,Half-Life,PS2,2001,0.29,0.23,0,0.08,0.6
3656,F.E.A.R.,PS3,2007,0.18,0.27,0,0.1,0.55
4332,The Chronicles of Riddick: Escape from Butcher Bay,XB,N/A,0.32,0.11,0,0.02,0.45
4675,TimeShift,X360,2007,0.36,0.02,0,0.03,0.41
5333,Metal Arms: Glitch in the System,PS2,2003,0.17,0.13,0,0.04,0.35
5366,F.E.A.R.,X360,2006,0.28,0.03,0,0.03,0.34
5585,SWAT: Global Strike Team,PS2,2003,0.16,0.12,0,0.04,0.32
6626,The Chronicles of Riddick: Assault on Dark Athena,PS3,2009,0.12,0.1,0,0.04,0.25
6664,Men of Valor,XB,2004,0.19,0.05,0,0.01,0.25
8267,Metal Arms: Glitch in the System,XB,2003,0.13,0.04,0,0.01,0.17
8287,SWAT: Global Strike Team,XB,2003,0.13,0.04,0,0.01,0.17
8606,TimeShift,PS3,2007,0.14,0.01,0,0.01,0.16
8693,Battlestar Galactica,PS2,2003,0.08,0.06,0,0.02,0.16
8958,Geometry Wars: Galaxies,DS,2007,0.13,0,0,0.01,0.15
9511,Iridion II,GBA,2003,0.09,0.03,0,0,0.13
9657,Geometry Wars: Galaxies,Wii,2007,0.11,0,0,0.01,0.13
10067,Cold Winter,PS2,2005,0.06,0.04,0,0.01,0.11
10463,Metal Arms: Glitch in the System,GC,2003,0.08,0.02,0,0,0.1
11172,F.E.A.R. Files,X360,2007,0.07,0.01,0,0.01,0.09
11197,Counter-Strike: Source,PC,2004,0,0.07,0,0.02,0.09
11549,Battlestar Galactica,XB,2003,0.06,0.02,0,0,0.08
13715,SWAT: Target Liberty,PSP,2007,0.03,0,0,0,0.04
14844,SWAT 4,PC,2005,0,0.02,0,0,0.03
15042,Thunderbirds,GBA,2004,0.02,0.01,0,0,0.02
15797,Judge Dredd: Dredd Vs Death,XB,2003,0.01,0,0,0,0.02
16245,F.E.A.R. Perseus Mandate,PC,2007,0.01,0,0,0,0.01
16286,The Chronicles of Riddick: Assault on Dark Athena,PC,2009,0,0.01,0,0,0.01
16290,TimeShift,PC,2007,0.01,0,0,0,0.01
