Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
5843,1701 A.D.,PC,2006,0,0.25,0,0.05,0.3
6071,Purr Pals,Wii,2008,0.27,0,0,0.02,0.29
8784,Horse Life Adventures,Wii,2008,0.13,0.01,0,0.01,0.15
10097,JASF: Jane's Advanced Strike Fighters,PS3,2011,0.07,0.03,0,0.02,0.11
10110,Let's Play Garden,DS,2010,0.11,0,0,0.01,0.11
10719,Horse Life Adventures,DS,2008,0.08,0.01,0,0.01,0.1
10995,JASF: Jane's Advanced Strike Fighters,X360,2011,0.06,0.02,0,0.01,0.09
11128,Dreamer Series: Teacher,DS,2009,0.08,0,0,0.01,0.09
11573,Dreamer Series: Shop Owner,DS,2009,0.07,0,0,0.01,0.08
11979,Emergency 2012,PC,2010,0.01,0.04,0,0.01,0.07
12770,Dreamer Series: Babysitter,DS,2009,0.05,0,0,0,0.06
13324,Pet Vet: Down Under,DS,2009,0.04,0,0,0,0.05
13841,JASF: Jane's Advanced Strike Fighters,PC,2011,0.02,0.01,0,0,0.04
14712,X3: Terran Conflict,PC,2008,0,0.02,0,0.01,0.03
14735,My Animal Centre,Wii,2009,0,0.02,0,0,0.03
14944,Let's Play Garden,Wii,2010,0.02,0,0,0,0.02
15197,Let's Play Flight Attendant,DS,2010,0.02,0,0,0,0.02
