Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6057,WWII Aces,Wii,2008,0.27,0,0,0.02,0.29
7738,Iron Chef America: Supreme Cuisine,DS,2008,0.18,0,0,0.01,0.19
8255,Iron Chef America: Supreme Cuisine,Wii,2008,0.16,0,0,0.01,0.17
10992,I Love Puppies,DS,2010,0.09,0,0,0.01,0.09
12202,Fantasy Aquarium World,Wii,2009,0.06,0,0,0,0.07
12285,Western Riding Academy,DS,2010,0.06,0,0,0,0.06
13064,Pet Pals: New Leash on Life,DS,2010,0.05,0,0,0,0.05
13208,Spitfire Heroes: Tales of the Royal Air Force,DS,2008,0.05,0,0,0,0.05
14409,Emergency! Disaster Rescue Squad,DS,2009,0.03,0,0,0,0.03
15835,I Love Horses: Rider's Paradise,Wii,2010,0.02,0,0,0,0.02
16595,Plushees,DS,2008,0.01,0,0,0,0.01
