Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
84,The Sims 3,PC,2009,0.98,6.42,0,0.71,8.11
329,The Sims: Unleashed,PC,2002,2.03,1.56,0,0.17,3.76
338,MySims,DS,2007,1.59,1.61,0.08,0.41,3.69
457,The Sims: Vacation,PC,2002,1.72,1.21,0,0.14,3.07
479,The Sims 4,PC,2014,0.96,1.72,0,0.29,2.97
542,The Sims,PS2,2003,1.41,1.12,0,0.24,2.77
635,The Sims: Bustin' Out,PS2,2003,1.07,1.19,0,0.18,2.43
681,The Sims 3,X360,2010,1.27,0.86,0,0.2,2.33
757,The Sims: House Party,PC,2001,1.23,0.83,0,0.1,2.16
798,The Sims 2: Pets,DS,2006,0.92,0.94,0,0.22,2.09
816,The Sims 3,PS3,2010,0.73,0.97,0.02,0.34,2.06
900,The Sims: Makin' Magic,PC,2003,1.03,0.8,0,0.09,1.92
956,The Sims: Hot Date,PC,2001,1.81,0,0,0,1.82
1002,The Urbz: Sims in the City,PS2,2004,0.52,0.95,0,0.29,1.76
1042,The Sims 3: Late Night Expansion Pack,PC,2010,0.59,0.87,0,0.25,1.71
1080,The Sims: Superstar,PC,2003,1.67,0,0,0,1.68
1082,MySims,Wii,2007,0.91,0.55,0.04,0.17,1.68
1173,MySims Kingdom,DS,2008,0.81,0.6,0.01,0.17,1.58
1221,MySims Kingdom,Wii,2008,0.71,0.65,0.01,0.17,1.53
1276,The Sims 3,Wii,2010,0.61,0.73,0,0.15,1.49
1337,SimCity (2013),PC,2013,0.48,0.77,0,0.19,1.44
1402,The Sims 2,PSP,2005,0.49,0.56,0,0.33,1.38
1476,The Sims: Bustin' Out,GBA,2003,0.93,0.35,0,0.06,1.33
1554,The Sims 2: Nightlife,PC,2005,1.22,0.05,0,0,1.27
1633,The Sims 2: Castaway,Wii,2007,0.45,0.64,0,0.14,1.23
1688,Nuclear Strike,PS,1997,0.66,0.45,0,0.08,1.19
1720,Soviet Strike,PS,1996,0.65,0.44,0,0.08,1.17
1912,Spore Creatures,DS,2008,0.67,0.3,0,0.11,1.08
2087,Littlest Pet Shop: Winter,DS,2008,0.59,0.31,0,0.1,0.99
2150,The Sims 2,DS,2005,0.82,0.07,0,0.07,0.96
2561,The Sims 2,PS2,2005,0.67,0.03,0,0.11,0.81
2572,The Sims 2: Pets,PSP,2006,0.19,0.39,0,0.22,0.8
2581,The Sims 2: Castaway,PSP,2007,0.08,0.46,0,0.25,0.8
2692,The Sims 3,3DS,2011,0.3,0.37,0.03,0.07,0.76
2795,The Sims 2: Castaway,DS,2007,0.63,0.05,0,0.06,0.73
2910,The Sims 2: Apartment Pets,DS,2008,0.32,0.31,0,0.07,0.7
2921,The Sims 3,DS,2010,0.39,0.25,0,0.06,0.7
2971,The Sims: Medieval,PC,2011,0.27,0.32,0,0.1,0.69
3050,The Sims 3: High-End Loft Stuff,PC,2010,0.01,0.53,0,0.12,0.67
3079,The Sims: Bustin' Out,GC,2003,0.43,0.2,0,0.03,0.66
