Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
11,Nintendogs,DS,2005,9.07,11,1.93,2.75,24.76
42,Animal Crossing: Wild World,DS,2005,2.55,3.52,5.33,0.88,12.27
74,Animal Crossing: New Leaf,3DS,2012,2.01,2.32,4.36,0.41,9.09
189,Tomodachi Life,3DS,2013,0.96,2.02,1.89,0.28,5.15
227,Animal Crossing: City Folk,Wii,2008,1.87,1.12,1.32,0.37,4.68
322,Nintendogs + cats,3DS,2011,1.44,1.37,0.73,0.27,3.81
347,Pokemon Snap,N64,1999,2.23,0.68,0.66,0.06,3.63
436,Animal Crossing,GC,2001,1.92,0.16,0.99,0.09,3.15
477,Animal Crossing: Happy Home Designer,3DS,2015,0.47,1,1.39,0.12,2.98
586,Style Savvy,DS,2008,0.63,0.84,0.96,0.19,2.61
755,Star Wars: Rogue Squadron,N64,1998,1.6,0.46,0.08,0.03,2.17
857,SimCity,SNES,1991,0.93,0.27,0.75,0.04,1.98
945,"Hey You, Pikachu!",N64,1998,0.83,0.06,0.93,0,1.83
1794,Pilotwings,SNES,1990,0.46,0.17,0.48,0.02,1.14
1821,Pilotwings 64,N64,1996,0.56,0.24,0.3,0.02,1.12
2171,PilotWings Resort,3DS,2011,0.4,0.36,0.13,0.07,0.96
2367,Endless Ocean: Blue World,Wii,2009,0.47,0.22,0.12,0.07,0.88
2824,Style Savvy: Trendsetters,3DS,2012,0.16,0.02,0.53,0.01,0.72
4784,Story of Seasons,3DS,2014,0,0.13,0.26,0.01,0.4
5148,Trauma Center: Under the Knife,DS,2005,0.3,0.01,0.02,0.03,0.37
5268,Trauma Center: Second Opinion,Wii,2006,0.28,0.02,0.03,0.03,0.35
5760,Doubutsu no Mori,N64,2001,0,0,0.26,0.05,0.31
5839,Trauma Center: New Blood,Wii,2007,0.22,0.04,0.01,0.03,0.3
6379,America's Test Kitchen: Let's Get Cooking,DS,2010,0.25,0,0,0.02,0.27
9052,Doshin the Giant,GC,2002,0,0,0.14,0,0.14
10784,Touch Mechanic,DS,2008,0.09,0,0,0.01,0.1
12772,Dance Dance Revolution: Mario Mix (JP sales),GC,2005,0,0,0.05,0,0.06
14971,Teddy Together,3DS,2016,0,0.02,0,0,0.02
15903,Jet Impulse,DS,N/A,0,0,0.02,0,0.02
