Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2467,Harvest Moon: Tree of Tranquility,Wii,2007,0.69,0.03,0.06,0.06,0.84
2728,Harvest Moon: Animal Parade,Wii,2008,0.6,0.09,0.02,0.05,0.76
2793,Harvest Moon DS: Island of Happiness,DS,2007,0.44,0.01,0.25,0.04,0.74
3452,Harvest Moon: Sunshine Islands,DS,2008,0.35,0.03,0.17,0.03,0.58
4121,Harvest Moon DS (US sales),DS,2005,0.41,0.07,0,0,0.48
4651,Harvest Moon: Grand Bazaar,DS,2008,0.22,0.05,0.13,0.02,0.42
5770,Harvest Moon: Magical Melody,Wii,2008,0.25,0.04,0,0.03,0.31
8599,Innocent Life: A Futuristic Harvest Moon,PSP,2006,0.08,0.03,0.03,0.02,0.16
8928,Harvest Moon: Hero of Leaf Valley,PSP,2009,0.07,0.02,0.05,0.02,0.15
9479,Harvest Moon DS (jp sales),DS,2005,0,0,0.13,0,0.13
16386,Pilot Academy,PSP,2006,0,0.01,0,0,0.01
