Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1763,Worldwide Soccer Manager 2009,PC,2008,0,1.14,0,0.01,1.15
3825,Seaman,DC,1999,0,0,0.52,0,0.52
4124,Football Manager 2015,PC,2014,0,0.43,0,0.05,0.48
5761,Football Manager 2016,PC,2015,0,0.29,0,0.02,0.31
6139,Chromehounds,X360,2006,0.24,0,0.01,0.02,0.28
6231,SimCity 2000,SAT,1994,0,0,0.28,0,0.28
7839,GunGriffon,SAT,1995,0,0,0.19,0,0.19
11069,Jambo! Safari Animal Rescue,Wii,2009,0.07,0.01,0,0.01,0.09
11826,Aero Elite: Combat Academy,PS2,2002,0.04,0.03,0,0.01,0.07
12338,Seaman 2: Peking Genjin Ikusei Kit,PS2,2007,0,0,0.06,0,0.06
15969,Yume Neko DS,DS,2008,0,0,0.02,0,0.02
16296,Jambo! Safari Animal Rescue,DS,2009,0.01,0,0,0,0.01
