Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
952,Air Combat,PS,1995,0.92,0.33,0.52,0.05,1.83
1964,Warhawk,PS3,2007,0.49,0.39,0,0.17,1.06
1987,Monster Rancher 2,PS,1998,0.19,0.13,0.66,0.07,1.05
2096,EyePet,PS3,2009,0.35,0.52,0.04,0.09,0.99
2341,Ace Combat 2,PS,1997,0.16,0.11,0.56,0.06,0.89
2483,Ace Combat 3: Electrosphere,PS,1999,0.22,0.15,0.4,0.05,0.83
4305,Warhawk,PS,1995,0.25,0.17,0,0.03,0.46
4736,Armored Core,PS,1997,0.13,0.09,0.16,0.03,0.41
5631,Sky Odyssey,PS2,2000,0.16,0.12,0,0.04,0.32
6299,EyePet,PSP,2010,0.02,0.17,0,0.09,0.27
7997,EyePet & Friends,PS3,2011,0.06,0.09,0,0.03,0.19
10487,Dropship: United Peace Force,PS2,2002,0.05,0.04,0,0.01,0.1
10661,Ghost in the Shell,PS,1997,0.06,0.04,0,0.01,0.1
10920,Bogey: Dead 6,PS,1996,0.05,0.04,0,0.01,0.09
11531,A-Train,PS,1995,0.02,0.01,0.04,0.01,0.08
