Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2052,Monster Rancher,PS,1997,0.12,0.08,0.74,0.07,1.01
5187,Monster Rancher 3,PS2,2001,0.11,0.09,0.14,0.03,0.36
5370,Monster Rancher 4,PS2,2003,0.08,0.06,0.19,0.02,0.34
10202,Naval Ops: Warship Gunner,PS2,2003,0.05,0.04,0,0.01,0.11
12557,Pop Cutie! Street Fashion Simulation,DS,2008,0.06,0,0,0,0.06
12884,Naval Ops: Commander,PS2,2004,0.03,0.02,0,0.01,0.05
13498,Nobunaga's Ambition (3DS),3DS,2013,0,0,0.04,0,0.04
14752,Warship Gunner 2,PS2,2006,0.01,0.01,0,0,0.03
14836,Pop Cutie! Street Fashion Simulation (JP sales),DS,2008,0,0,0.03,0,0.03
15441,Warship Gunner 2 Portable,PSP,2009,0,0,0.02,0,0.02
15687,Winning Post 8 2016,PS4,2016,0,0,0.02,0,0.02
15940,Oyaku de Asoberu DS Ehon: Ukkari Penelope,DS,2008,0,0,0.02,0,0.02
16129,Monster Rancher Advance 2,GBA,2002,0.01,0,0,0,0.01
