Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
504,Imagine: Babyz,DS,2007,1.3,1.27,0,0.31,2.88
524,Imagine: Fashion Designer,DS,2007,1.32,1.19,0,0.3,2.81
1038,Imagine: Teacher,DS,2008,0.7,0.83,0,0.19,1.72
1287,Imagine: Master Chef,DS,2007,0.39,0.92,0,0.17,1.47
1482,Petz Wild Animals: Dolphinz,DS,2007,0.71,0.48,0,0.13,1.33
1542,Imagine: Wedding Designer,DS,2008,0.55,0.59,0,0.14,1.28
1856,Petz Dogz 2,DS,2007,0.47,0.52,0,0.12,1.1
1873,Imagine: Babysitters,DS,2008,0.63,0.36,0,0.1,1.09
1922,Imagine: Fashion Designer New York,DS,2008,0.65,0.32,0,0.1,1.07
1982,Imagine: Animal Doctor,DS,2007,0.45,0.49,0,0.11,1.05
2033,Petz: Catz 2,DS,2007,0.51,0.4,0,0.11,1.02
2440,Blazing Angels: Squadrons of WWII,Wii,2007,0.74,0.04,0,0.06,0.85
2462,Petz Dogz Fashion,DS,2008,0.46,0.3,0,0.09,0.84
2527,Imagine: Rock Star,DS,2008,0.4,0.33,0,0.09,0.82
2615,Armored Core 2,PS2,2000,0.28,0.22,0.23,0.07,0.79
2822,Imagine: Interior Designer,DS,2008,0.34,0.31,0,0.08,0.73
3018,Blazing Angels: Squadrons of WWII,PS3,2006,0.35,0.22,0,0.1,0.67
3199,Dogz,GBA,2004,0.45,0.17,0,0.01,0.63
3317,Petz: Dogz Pack,DS,2008,0.56,0,0,0.05,0.61
3434,Harvest Moon: Friends of Mineral Town,GBA,2003,0.34,0.13,0.11,0.01,0.59
3441,Petz Dogz 2,Wii,2007,0.53,0.01,0,0.04,0.58
3480,Petz Nursery,DS,2009,0.53,0,0,0.04,0.58
3529,Petz Wild Animals: Tigerz,DS,2008,0.52,0.01,0,0.04,0.57
3532,Dogz,DS,2006,0.51,0.02,0,0.04,0.57
3582,Petz Dogz 2,PS2,2007,0.28,0.21,0,0.07,0.56
3612,Catz,DS,2006,0.49,0.02,0,0.04,0.56
3616,Petz Catz Clan,DS,2008,0.48,0.04,0,0.04,0.56
4174,Petz Sports,Wii,2008,0.42,0.01,0,0.04,0.47
4371,Petz: Catz 2,Wii,2007,0.41,0.01,0,0.03,0.45
4461,Petz: Horsez 2,DS,2007,0.41,0,0,0.03,0.44
4536,Petz Bunnyz,DS,2008,0.39,0.01,0,0.03,0.43
4560,Petz: Horsez 2,Wii,2007,0.39,0,0,0.03,0.43
4599,Horsez,DS,2006,0.38,0.01,0,0.03,0.42
4635,Blazing Angels: Squadrons of WWII,X360,2006,0.36,0.03,0,0.03,0.42
4643,Style Lab: Makeover,DS,2009,0.35,0.03,0,0.03,0.42
4938,Dawn of Discovery,PC,2009,0,0.32,0,0.07,0.39
4951,Imagine: Party Babyz,Wii,2008,0.34,0.02,0,0.03,0.39
4989,Imagine: Salon Stylist,DS,2009,0.24,0.11,0,0.04,0.38
5064,Petz Rescue: Wildlife Vet,DS,2008,0.35,0,0,0.03,0.38
5085,Puppy Palace,DS,2008,0.35,0,0,0.03,0.37
5104,Petz: Catz 2,PS2,2006,0.18,0.14,0,0.05,0.37
5108,Hell's Kitchen: The Game,DS,2008,0.34,0.01,0,0.03,0.37
5352,Style Lab: Jewelry Design,DS,2009,0.32,0,0,0.02,0.34
5419,Imagine: Movie Star,DS,2008,0.31,0,0,0.02,0.34
5478,Hell's Kitchen: The Game,Wii,2008,0.3,0,0,0.03,0.33
5617,Harvest Moon: Back to Nature,PS,1999,0.11,0.07,0.12,0.02,0.32
5822,Imagine: Family Doctor,DS,2009,0.28,0.01,0,0.02,0.3
