Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
118,Zumba Fitness,Wii,2010,3.5,2.64,0,0.67,6.81
652,Zumba Fitness,X360,2010,1.74,0.48,0,0.18,2.39
3433,Zumba Fitness,PS3,2010,0.28,0.21,0,0.09,0.59
4392,Brunswick Pro Bowling,X360,2010,0.38,0.04,0,0.03,0.45
4840,Brunswick Pro Bowling,PS2,2007,0.2,0.15,0,0.05,0.4
4891,Brunswick Pro Bowling,Wii,2007,0.36,0.01,0,0.03,0.39
4966,Hooked! Again: Real Motion Fishing,Wii,2009,0.36,0,0,0.03,0.39
5486,Rugby World Cup 2011,PS3,2011,0,0.25,0,0.08,0.33
6107,Rugby World Cup 2011,X360,2011,0.03,0.21,0,0.04,0.28
6571,Daisy Fuentes Pilates,Wii,2009,0.17,0.06,0,0.02,0.26
7074,Rocket League,PS4,2016,0.02,0.14,0,0.07,0.23
7105,Hooked! Real Motion Fishing,Wii,2007,0.21,0,0,0.02,0.23
7411,Brunswick Pro Bowling,PSP,2007,0.19,0,0,0.02,0.21
7891,Brunswick Pro Bowling,PS3,2010,0.1,0.06,0,0.03,0.19
7925,Zumba Fitness Rush,X360,2012,0,0.16,0,0.02,0.19
8254,Professional Fisherman's Tour: Northern Hemisphere,DS,2007,0.16,0,0,0.01,0.17
9713,Rocket League,XOne,2016,0.03,0.09,0,0.01,0.12
10241,Michael Phelps: Push the Limit,X360,2011,0.09,0.01,0,0.01,0.11
10871,Field & Stream: Total Outdoorsman Challenge,X360,2010,0.09,0,0,0.01,0.09
10911,Championship Foosball,Wii,2008,0.09,0,0,0.01,0.09
11182,Fire Pro Wrestling Returns,PS2,2005,0.04,0.03,0,0.01,0.09
11264,Diva Girls: Divas on Ice,Wii,2009,0.07,0.01,0,0.01,0.08
11958,Dave Mirra BMX Challenge,Wii,2007,0.06,0,0,0.01,0.07
12771,Diva Girls: Divas on Ice,DS,2009,0.05,0,0,0,0.06
12849,Princess on Ice,DS,2008,0.04,0.01,0,0,0.05
14832,River King: Wonderful Journey,PS2,2005,0.01,0.01,0,0,0.03
15153,Rocket League,PC,2016,0.01,0.01,0,0,0.02
