Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1050,Cabela's Big Game Hunter 2010,Wii,2009,1.58,0,0,0.12,1.7
2687,Cabela's Deer Hunt: 2004 Season,PS2,2003,0.37,0.29,0,0.1,0.76
4821,Cabela's Big Game Hunter 2010,PS3,2009,0.37,0,0,0.03,0.4
4992,Cabela's Dangerous Hunts 2009,Wii,2008,0.36,0,0,0.03,0.38
5753,Cabela's Outdoor Adventures (2009),Wii,2009,0.29,0,0,0.02,0.31
6264,Cabela's Trophy Bucks,PS2,2007,0.13,0.11,0,0.04,0.27
6416,Cabela's Big Game Hunter 2010,X360,2009,0.25,0,0,0.02,0.27
6803,Cabela's Outdoor Adventures (2009),X360,2009,0.23,0,0,0.02,0.24
7057,Cabela's Outdoor Adventures (2009),PS3,2009,0.21,0,0,0.02,0.23
7317,Cabela's Big Game Hunter: Ultimate Challenge,PS,2001,0.12,0.08,0,0.01,0.21
7409,Cabela's Deer Hunt: 2004 Season,XB,2003,0.16,0.05,0,0.01,0.21
7655,Cabela's Big Game Hunter (2008),PS2,2007,0.1,0.08,0,0.03,0.2
8154,Cabela's Dangerous Hunts 2009,PS2,2008,0.09,0.07,0,0.02,0.18
9123,Cabela's Outdoor Adventures (2009),PS2,2009,0.07,0.05,0,0.02,0.14
9214,Cabela's African Safari,X360,2006,0.13,0,0,0.01,0.14
9559,Cabela's Dangerous Hunts 2009,PS3,2008,0.12,0,0,0.01,0.13
10937,Cabela's Big Game Hunter,GBA,2002,0.07,0.02,0,0,0.09
12293,Cabela's Trophy Bucks,Wii,2008,0.06,0,0,0,0.06
12503,Cabela's Big Game Hunter (2008),X360,2007,0.06,0,0,0,0.06
12538,Cabela's Dangerous Hunts: Ultimate Challenge,PSP,2006,0.06,0,0,0,0.06
13336,Cabela's African Safari,PSP,2006,0.04,0,0,0,0.05
13397,Cabela's Trophy Bucks,X360,2007,0.04,0,0,0,0.05
