Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
203,Tony Hawk's Pro Skater,PS,1999,3.42,1.38,0.02,0.2,5.02
226,Tony Hawk's Pro Skater 2,PS,2000,3.05,1.41,0.02,0.2,4.68
249,Tony Hawk's Pro Skater 3,PS2,2001,2.66,1.29,0.01,0.46,4.41
307,Tony Hawk's Underground,PS2,2003,2.29,1.17,0.01,0.42,3.9
340,Tony Hawk's Pro Skater 4,PS2,2002,2.13,1.18,0.01,0.35,3.67
669,Tony Hawk's Underground 2,PS2,2004,1.25,0.86,0.01,0.26,2.37
780,Tony Hawk's Pro Skater,N64,2000,1.68,0.4,0,0.03,2.11
1092,Tony Hawk's Pro Skater 3,PS,2001,1.09,0.49,0.02,0.07,1.67
1136,Tony Hawk's American Wasteland (Old all region sales),PS2,2005,0.8,0.63,0.01,0.19,1.62
1332,Tony Hawk's American Wasteland (Weekly american sales),PS2,2005,1.38,0.05,0,0.02,1.45
1356,Cabela's Big Game Hunter,PS2,2002,0.7,0.54,0,0.18,1.42
1475,Tony Hawk's Pro Skater,GB,2000,0.9,0.38,0.01,0.05,1.33
1561,Tony Hawk's Underground,XB,2003,0.85,0.37,0,0.05,1.27
1713,Tony Hawk's Pro Skater 2,GBA,2001,0.85,0.31,0,0.02,1.18
2193,Tony Hawk: RIDE,Wii,2009,0.7,0.17,0,0.08,0.95
2225,Tony Hawk's Pro Skater 4,XB,2002,0.59,0.3,0,0.04,0.93
2277,Street Hoops,PS2,2002,0.45,0.35,0,0.12,0.91
2394,Tony Hawk's Project 8,PS2,2006,0.72,0.03,0,0.12,0.87
2508,Tony Hawk's Underground 2 Remix,PSP,2005,0.46,0.21,0,0.15,0.82
2509,Tony Hawk's Pro Skater 3,GC,2001,0.64,0.17,0,0.02,0.82
2707,Tony Hawk's Pro Skater 2,N64,2001,0.59,0.16,0,0.01,0.76
2751,Tony Hawk's Underground 2,XB,2004,0.48,0.24,0,0.03,0.75
2906,Tony Hawk's Underground,GC,2003,0.54,0.14,0,0.02,0.7
3057,Tony Hawk's Proving Ground,PS2,2007,0.55,0.02,0,0.09,0.66
3192,Tony Hawk's Pro Skater 2x,XB,2001,0.41,0.19,0,0.03,0.63
3198,Tony Hawk's Project 8,PS3,2006,0.3,0.23,0.01,0.1,0.63
3210,Cabela's Big Game Hunter (2008),Wii,2007,0.58,0,0,0.05,0.63
3241,Tony Hawk's American Wasteland,XB,2005,0.4,0.2,0,0.03,0.62
3298,Tony Hawk: RIDE,X360,2009,0.46,0.1,0,0.05,0.61
3303,Cabela's Monster Buck Hunter,Wii,2010,0.58,0,0,0.03,0.61
3336,Tony Hawk's Underground,GBA,2003,0.43,0.16,0,0.01,0.6
3350,Tony Hawk: RIDE,PS3,2009,0.38,0.15,0,0.08,0.6
