Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
9395,Rugby 15,PS3,2015,0.02,0.09,0,0.02,0.13
9756,WRC 5: FIA World Rally Championship,PS3,2015,0.02,0.09,0,0.02,0.12
10312,Rugby 15,PS4,2015,0.03,0.06,0,0.02,0.11
11243,Rugby 15,XOne,2015,0.03,0.05,0,0.01,0.09
11714,WRC 5: FIA World Rally Championship,PSV,2015,0,0.06,0,0.02,0.08
12308,Rugby 15,PSV,2015,0,0.05,0,0.01,0.06
12802,Handball 16,PS4,2015,0,0.05,0,0.01,0.06
12912,Rugby 15,X360,2015,0,0.05,0,0,0.05
13014,WRC 5: FIA World Rally Championship,PS4,2015,0,0.04,0,0.01,0.05
13301,Handball 16,PS3,2015,0,0.04,0,0.01,0.05
15812,WRC 5: FIA World Rally Championship,X360,2015,0,0.02,0,0,0.02
16040,WRC 5: FIA World Rally Championship,XOne,2015,0,0.01,0,0,0.01
16394,Handball 16,X360,2015,0,0.01,0,0,0.01
