Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1579,Brian Lara Cricket,PS,1998,0.02,1.13,0.01,0.1,1.26
2820,Shaun Palmer's Pro Snowboarder,PS2,2001,0.36,0.28,0,0.09,0.73
6882,Ashes Cricket 2009,Wii,2009,0,0.23,0,0.01,0.24
7551,Ashes Cricket 2009,X360,2009,0,0.19,0,0.01,0.2
7567,International Cricket 2010,PS3,2010,0,0.15,0,0.05,0.2
8211,Ashes Cricket 2009,PS3,2009,0,0.16,0,0.02,0.17
9163,International Cricket 2010,X360,2010,0,0.12,0,0.02,0.14
9454,No Fear Downhill Mountain Biking,PS,1998,0.07,0.05,0,0.01,0.13
13392,Mike Tyson Heavyweight Boxing,XB,2002,0.03,0.01,0,0,0.05
16398,LMA Manager 2007,X360,2006,0,0.01,0,0,0.01
