Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7160,Whirl Tour,PS2,2002,0.11,0.09,0,0.03,0.22
7542,PBR: Out of the Chute,PS2,2008,0.1,0.08,0,0.03,0.2
9591,PBR: Out of the Chute,Wii,2008,0.12,0,0,0.01,0.13
9705,Deadliest Catch: Sea of Chaos,Wii,2010,0.12,0,0,0.01,0.12
9984,Brunswick Pro Bowling,3DS,2011,0.11,0,0,0.01,0.12
10636,Virtual Pool 64,N64,1998,0.08,0.02,0,0,0.1
11113,Deadliest Catch: Sea of Chaos,X360,2010,0.08,0,0,0.01,0.09
11364,Deadliest Catch: Sea of Chaos,PS3,2010,0.08,0,0,0.01,0.08
12389,Strike Force Bowling,GC,2005,0.05,0.01,0,0,0.06
13573,Strike Force Bowling,XB,2004,0.03,0.01,0,0,0.04
