Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7113,Family Party: 30 Great Games Winter Fun,Wii,2010,0.21,0,0,0.01,0.23
8313,Jillian Michaels Fitness Ultimatum 2011,Wii,2010,0.16,0,0,0.01,0.17
8805,Family Party: Fitness Fun,Wii,2010,0.14,0,0,0.01,0.15
12106,The Putter Golf,PS,2001,0.04,0.03,0,0,0.07
14103,Turbo: Super Stunt Squad,DS,2013,0,0.03,0,0,0.03
14231,Angler's Club: Ultimate Bass Fishing 3D,3DS,2011,0,0.03,0,0,0.03
14888,Turbo: Super Stunt Squad,WiiU,2013,0,0.02,0,0,0.03
15207,Turbo: Super Stunt Squad,PS3,2013,0,0.02,0,0,0.02
15759,Turbo: Super Stunt Squad,Wii,2013,0,0.02,0,0,0.02
15878,Turbo: Super Stunt Squad,3DS,2013,0,0.01,0,0,0.02
16065,Turbo: Super Stunt Squad,X360,2013,0,0.01,0,0,0.01
