Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1564,Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,0.96,0.2,0,0.11,1.27
8433,NASCAR '15,X360,2015,0.15,0,0,0.02,0.17
9297,Let's Play Ballerina,DS,2010,0.13,0,0,0.01,0.14
9349,Winter Stars,Wii,2011,0.06,0.07,0,0.01,0.13
10724,Winter Stars,X360,2011,0.05,0.04,0,0.01,0.1
11058,Winter Stars,PS3,2011,0.01,0.06,0,0.02,0.09
11709,The Hustle: Detroit Streets,PSP,2005,0.07,0,0,0.01,0.08
14829,Let's Play Ballerina,Wii,2010,0.02,0,0,0,0.03
16145,WSC REAL 09: World Snooker Championship,PS3,2009,0,0.01,0,0,0.01
16392,WSC REAL 09: World Snooker Championship,X360,2009,0,0.01,0,0,0.01
