Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1160,ESPN NBA 2K5,PS2,2004,1.26,0.12,0,0.21,1.59
2174,ESPN NBA 2K5,XB,2004,0.88,0.04,0,0.04,0.95
2373,ESPN NHL 2K5,PS2,2004,0.43,0.33,0,0.11,0.88
4603,ESPN NHL 2K5,XB,2004,0.32,0.09,0,0.02,0.42
5277,Outlaw Golf 2,PS2,2004,0.17,0.14,0,0.05,0.35
7482,Outlaw Golf 2,XB,2004,0.15,0.04,0,0.01,0.21
11600,Outlaw Tennis,PS2,2005,0.04,0.03,0,0.01,0.08
13588,Outlaw Tennis,XB,2005,0.03,0.01,0,0,0.04
13849,Outlaw Volleyball Remixed,PS2,2004,0.02,0.01,0,0,0.04
14547,Virtual Pool: Tournament Edition,XB,2005,0.02,0.01,0,0,0.03
