Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2505,Deca Sports 2,Wii,2009,0.33,0.34,0.09,0.07,0.82
3782,Virtual Soccer,SNES,1993,0,0,0.53,0,0.53
5496,Super Power League 2,SNES,1994,0,0,0.33,0,0.33
5517,DECA Sports Freedom,X360,2010,0.27,0.04,0,0.02,0.33
6824,Deca Sports 3,Wii,2010,0.15,0.07,0,0.02,0.24
8426,Super Power League,SNES,1993,0,0,0.17,0,0.17
9898,Deca Sports Extreme,3DS,2011,0.08,0,0.03,0.01,0.12
10288,Deca Sports DS,DS,2009,0.08,0.02,0,0.01,0.11
13243,J-League '96 Dream Stadium,SNES,1996,0,0,0.05,0,0.05
14429,World Sports Competition,PS3,2009,0.02,0,0,0.01,0.03
15018,Mesaze!! Tsuri Master: Sekai ni Challenge! Hen,Wii,2008,0,0,0.02,0,0.02
16590,Mezase!! Tsuri Master DS,DS,2009,0,0,0.01,0,0.01
