Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
250,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,0.1,2.39,1.05,0.86,4.39
293,World Soccer Winning Eleven 9,PS2,2005,0.12,2.26,0.9,0.77,4.06
316,World Soccer Winning Eleven 8 International,PS2,2004,0.16,1.89,1.12,0.68,3.85
349,Pro Evolution Soccer 2008,PS2,2007,0.05,0,0.64,2.93,3.63
475,World Soccer Winning Eleven 6 International,PS2,2002,0.12,1.26,1.16,0.45,2.99
498,World Soccer Winning Eleven 7 International,PS2,2003,0.08,1.24,1.13,0.45,2.9
606,Deca Sports,Wii,2008,1.13,0.87,0.29,0.25,2.54
615,PES 2009: Pro Evolution Soccer,PS2,2008,0.13,0.07,0.26,2.05,2.5
640,pro evolution soccer 2011,PS3,2010,0.29,1.18,0.54,0.41,2.42
699,Pro Evolution Soccer 2010,PS3,2009,0.3,1.27,0.46,0.26,2.28
781,PES 2009: Pro Evolution Soccer,PS3,2008,0.11,1.34,0.4,0.26,2.11
1008,Pro Evolution Soccer,PS2,2001,0.06,0.9,0.53,0.27,1.75
1166,Pro Evolution Soccer 2008,PS3,2007,0.04,1.1,0.32,0.13,1.59
1182,Pro Evolution Soccer 2010,PS2,2009,0.1,0.18,0.12,1.16,1.57
1186,Pro Evolution Soccer 2013,PS3,2012,0.18,0.64,0.49,0.25,1.56
1667,World Soccer Winning Eleven 9 (JP & Others sales),PSP,2005,0.01,0.88,0.31,0,1.2
1692,Pro Evolution Soccer 2008,Wii,2008,0.09,0.84,0.11,0.15,1.19
1928,Pro Evolution Soccer 2008,X360,2007,0.08,0.9,0.04,0.05,1.07
2059,PES 2009: Pro Evolution Soccer,X360,2008,0.13,0.76,0.03,0.09,1
2069,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),X360,2006,0.08,0.9,0.02,0,1
2107,Pro Evolution Soccer 2008,PSP,2008,0.02,0.53,0.19,0.25,0.98
2413,Winning Eleven: Pro Evolution Soccer 2007,PSP,2006,0.01,0.72,0.12,0.01,0.86
2543,Jikkyou Powerful Pro Yakyuu '99 Kaimakuban,PS,1999,0,0,0.76,0.05,0.81
2547,Pro Evolution Soccer 2010,X360,2009,0.12,0.58,0.03,0.08,0.81
2559,World Soccer Jikkyou Winning Eleven 3: World Cup France '98,PS,1998,0,0,0.75,0.05,0.81
2575,Pro Evolution Soccer 2010,PSP,2009,0.09,0.33,0.2,0.18,0.8
2588,PES 2009: Pro Evolution Soccer,PSP,N/A,0.04,0.33,0.26,0.17,0.8
2597,pro evolution soccer 2011,PSP,2010,0.05,0.3,0.29,0.16,0.79
2645,Pro Evolution Soccer 2016,PS4,2015,0.13,0.42,0.13,0.1,0.78
2698,ISS Pro Evolution,PS,1998,0,0,0.71,0.05,0.76
2703,Pro Evolution Soccer 2015,PS4,2014,0.09,0.43,0.11,0.13,0.76
3066,Jikkyou World Soccer 2000 Final Edition,PS2,2000,0,0,0.66,0,0.66
3253,Pro Evolution Soccer 2015,PS3,2014,0.1,0.23,0.22,0.08,0.62
3305,pro evolution soccer 2011,X360,2010,0.09,0.44,0,0.07,0.61
3363,International Superstar Soccer 64,N64,1997,0.09,0.26,0.23,0.02,0.6
3391,Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,1997,0,0,0.56,0.04,0.59
3401,Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,1998,0,0,0.55,0.04,0.59
3469,International Superstar Soccer '98,N64,1998,0.06,0.3,0.19,0.03,0.58
3743,World Soccer Winning Eleven 7 International (JP version),PS2,2004,0,0,0.54,0,0.54
3887,International Track & Field,PS,1996,0.08,0.05,0.35,0.03,0.51
3895,Pro Evolution Soccer 2010,Wii,2009,0.12,0.27,0.06,0.05,0.51
3899,Jikkyou Powerful Pro Yakyuu 10,PS2,2003,0,0,0.51,0,0.51
3910,International Superstar Soccer 2000 (All region sales),N64,1999,0.01,0.26,0.22,0.02,0.51
4208,World Soccer Winning Eleven 8: Liveware Evolution,PS2,2005,0,0,0.47,0,0.47
4255,Walk it Out!,Wii,2010,0.36,0.06,0,0.04,0.46
4318,Jikkyou Powerful Pro Yakyuu 3,SNES,1996,0,0,0.45,0,0.45
4320,Jikkyou Powerful Pro Yakyuu 12,PS2,2005,0,0,0.45,0,0.45
4354,Pro Evolution Soccer 2016,PS3,2015,0.08,0.18,0.15,0.05,0.45
4357,PES 2009: Pro Evolution Soccer,Wii,2009,0.09,0.26,0.05,0.05,0.45
4362,World Soccer Winning Eleven 5 Final Evolution,PS2,2001,0,0,0.45,0,0.45
4415,World Soccer Winning Eleven 9,XB,2005,0.06,0.33,0.02,0.03,0.44
4465,Jikkyou Powerful Pro Yakyuu 9,PS2,2002,0,0,0.44,0,0.44
4620,Jikkyou Powerful Pro Yakyuu 11,PS2,2004,0,0,0.42,0,0.42
4626,Jikkyou Powerful Pro Yakyuu 6,N64,1999,0,0,0.39,0.03,0.42
4652,International Superstar Soccer Pro '98,PS,1998,0.02,0.02,0.35,0.03,0.42
4687,pro evolution soccer 2011,PS2,2010,0.04,0.21,0.05,0.11,0.41
4699,World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen,PS,2000,0,0,0.39,0.03,0.41
4769,Jikkyou Powerful Pro Yakuu '94,SNES,1994,0,0,0.41,0,0.41
5075,Pro Evolution Soccer 2011 3D,3DS,2011,0.11,0.13,0.11,0.02,0.38
5146,Bottom of the 9th,N64,1999,0.37,0,0,0,0.37
5172,ESPN X Games Skateboarding,PS2,2001,0.18,0.14,0,0.05,0.36
5288,Jikkyou Powerful Pro Yakyuu 13,PS2,2006,0,0,0.35,0,0.35
5306,Jikkyou Powerful Pro Yakyuu 2000,N64,2000,0,0,0.29,0.06,0.35
5335,Jikkyou Powerful Pro Yakyuu 7,PS2,2000,0,0,0.35,0,0.35
5632,Nagano Winter Olympics 98,N64,1997,0.15,0.04,0.13,0,0.32
5648,No.1 Muscle Ranking - Kinniku Banzuke Vol. 1: Oregasaikyouno Otokoda!,PS,1999,0,0,0.3,0.02,0.32
5712,Jikkyou Powerful Pro Yakyuu 14,PS2,2007,0,0,0.31,0,0.31
5719,Jikkyou Powerful Pro Yakyuu Portable 3,PSP,2008,0,0,0.31,0,0.31
5743,Pro Evolution Soccer 2013,X360,2012,0.08,0.2,0,0.03,0.31
5755,Jikkyou Powerful Pro Yakyuu 4,N64,1997,0,0,0.26,0.05,0.31
5768,J-League Winning Eleven 2007: Club Championship,PS2,2007,0,0,0.31,0,0.31
5933,Power Pro Kun Pocket 6,GBA,2003,0,0,0.29,0.01,0.3
5936,Power Pro Kun Pocket 10,DS,2007,0,0,0.3,0,0.3
5971,Power Pro Kun Pocket 4,GBA,2002,0,0,0.29,0.01,0.29
5976,MLB Power Pros,Wii,2007,0.23,0,0.04,0.02,0.29
5980,Fisherman's Bait 2: Big Ol' Bass,PS,1999,0.16,0.11,0,0.02,0.29
5993,Jikkyou Powerful Pro Yakyuu 2000 Kaimakuban,PS,2000,0,0,0.27,0.02,0.29
6024,Jikkyou Powerful Pro Yakyuu 8,PS2,2001,0,0,0.29,0,0.29
6091,Power Pro Kun Pocket 11,DS,2008,0,0,0.29,0,0.29
6119,International Superstar Soccer,SNES,1994,0,0,0.28,0,0.28
6138,Pro Evolution Soccer 2017,PS4,2016,0.01,0.16,0.09,0.03,0.28
6198,NBA In The Zone,PS,1995,0.16,0.11,0,0.02,0.28
6207,UEFA Euro 2016,PS4,2016,0,0.21,0.03,0.03,0.28
6250,Power Pro Kun Pocket 3,GBA,2001,0,0,0.27,0.01,0.28
6260,Pro Evolution Soccer 2013,PSP,2012,0,0.07,0.18,0.03,0.28
6303,Jikkyou Powerful Pro Yakyuu Portable 4,PSP,2009,0,0,0.27,0,0.27
6344,NBA In The Zone '98,N64,1997,0.25,0.02,0,0,0.27
6345,Jikkyou Powerful Pro Yakyuu 5,N64,1998,0,0,0.27,0,0.27
6365,Jikkyou Powerful Pro Yakyuu 2,SNES,1995,0,0,0.27,0,0.27
6391,Jikkyou Powerful Pro Yakyuu '98 Ketteiban,PS,1998,0,0,0.25,0.02,0.27
6426,Jikkyou Powerful Pro Yakyuu 2010,PS3,2010,0,0,0.27,0,0.27
6458,Jikkyou Powerful Pro Yakyuu '99 Ketteiban,PS,1999,0,0,0.25,0.02,0.26
6487,Jikkyou Powerful Pro Yakyuu 2013,PS3,2013,0,0,0.26,0,0.26
6508,Jikkyou Powerful Pro Yakyuu 2011,PS3,2011,0,0,0.26,0,0.26
6512,Power Pro Kun Pocket 5,GBA,2003,0,0,0.25,0.01,0.26
6530,Evolution Skateboarding,PS2,2002,0.13,0.1,0,0.03,0.26
6634,Power Pro Kun Pocket 2,GB,2000,0,0,0.25,0,0.25
6719,Tennis no Oji-Sama: Genius Boys Academy,GBA,2002,0,0,0.24,0.01,0.25
6777,Jikkyou Powerful Pro Yakyuu 2001,PS,2001,0,0,0.23,0.02,0.24
6801,World Soccer Winning Eleven 7,PS2,2003,0.12,0.09,0,0.03,0.24
