Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
140,Kinect Sports,X360,2010,3.92,1.78,0.03,0.51,6.24
671,Kinect Sports: Season Two,X360,2011,1.38,0.74,0.02,0.22,2.36
2085,NFL Fever 2002,XB,2000,0.74,0.21,0,0.04,0.99
2517,Amped: Freestyle Snowboarding,XB,2001,0.69,0.11,0,0.02,0.82
3290,NFL Fever 2003,XB,2002,0.46,0.13,0,0.02,0.61
3417,Dead or Alive Xtreme Beach Volleyball,XB,2003,0.36,0.08,0.14,0.02,0.59
3456,Kinect Sports Rivals,XOne,2014,0.3,0.22,0.02,0.04,0.58
4303,Top Spin,XB,2003,0.36,0.08,0,0.02,0.46
5100,NBA Inside Drive 2002,XB,2002,0.28,0.08,0,0.01,0.37
5675,NFL Fever 2004,XB,2003,0.24,0.07,0,0.01,0.32
5723,NBA Inside Drive 2003,XB,2002,0.23,0.07,0,0.01,0.31
6097,Links 2004,XB,2003,0.21,0.06,0,0.01,0.29
6647,Amped 2,XB,2003,0.2,0.04,0,0.01,0.25
8249,NBA Inside Drive 2004,XB,2003,0.13,0.04,0,0.01,0.17
9890,MLB Inside Pitch 2003,XB,2003,0.09,0.03,0,0,0.12
10256,NHL Rivals 2004,XB,2003,0.08,0.02,0,0,0.11
13159,Nike+ Kinect Training,X360,2012,0.02,0.02,0,0,0.05
