Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1104,NBA Ballers,PS2,2004,0.81,0.63,0,0.21,1.66
1257,NFL Blitz,PS,1998,1.41,0.05,0,0.04,1.5
1893,NFL Blitz 2000,PS,1998,0.6,0.41,0,0.07,1.09
1913,Ready 2 Rumble Boxing,PS,1998,0.6,0.41,0,0.07,1.08
1955,NFL Blitz,N64,1998,1.02,0.04,0,0.01,1.06
3399,NFL Blitz 2001,PS,2000,0.33,0.22,0,0.04,0.59
3415,Ready 2 Rumble Boxing,N64,1999,0.47,0.11,0,0.01,0.59
3501,NFL Blitz 2000,N64,1999,0.55,0.02,0,0,0.58
3569,NHL Hitz 20-02,PS2,2001,0.28,0.22,0,0.07,0.56
3631,NBA Showtime: NBA on NBC,PS,1999,0.31,0.21,0,0.04,0.55
3775,MLB SlugFest 20-04,PS2,2003,0.26,0.2,0,0.07,0.53
3778,Blitz: The League,XB,2004,0.4,0.11,0,0.02,0.53
3940,NBA Ballers,XB,2004,0.37,0.11,0,0.02,0.51
4199,NBA Ballers: Phenom,PS2,2006,0.23,0.18,0,0.06,0.47
4487,NFL Blitz 20-03,PS2,2002,0.21,0.17,0,0.06,0.44
4624,NFL Blitz 2001,N64,2000,0.34,0.07,0,0,0.42
5947,MLB SlugFest Loaded,PS2,2004,0.14,0.11,0,0.04,0.3
6193,NFL Blitz 20-02,PS2,2002,0.14,0.11,0,0.04,0.28
6211,NHL Hitz 20-03,PS2,2002,0.14,0.11,0,0.04,0.28
6283,NHL Hitz 20-02,XB,2001,0.2,0.06,0,0.01,0.27
6472,MLB SlugFest 2006,PS2,2006,0.13,0.1,0,0.03,0.26
6687,NBA Showtime: NBA on NBC,N64,1999,0.23,0.02,0,0,0.25
6693,Wayne Gretzky's 3D Hockey '98,N64,1997,0.23,0.02,0,0,0.25
7101,NFL Blitz Pro,PS2,2003,0.11,0.09,0,0.03,0.23
7444,NHL Hitz 20-02,GC,2001,0.16,0.04,0,0.01,0.21
7556,MLB SlugFest 20-03,XB,2002,0.15,0.04,0,0.01,0.2
7827,NHL Hitz Pro,PS2,2003,0.09,0.07,0,0.02,0.19
7993,NBA Ballers: Chosen One,X360,2008,0.17,0,0,0.01,0.19
8181,NBA Hoopz,PS2,2001,0.09,0.07,0,0.02,0.18
8607,Blitz: The League,X360,2006,0.15,0,0,0.01,0.16
8642,Blitz: The League II,PS3,2008,0.11,0.03,0,0.02,0.16
8994,MLB SlugFest 20-03,GC,2002,0.11,0.03,0,0,0.15
9104,NFL Blitz 20-03,XB,2002,0.11,0.03,0,0.01,0.14
9197,NFL Blitz 20-03,GC,2002,0.11,0.03,0,0,0.14
9385,Kurt Warner's Arena Football Unleashed,PS,2000,0.07,0.05,0,0.01,0.13
9393,NBA Hoopz,PS,2001,0.07,0.05,0,0.01,0.13
9471,NBA Ballers: Chosen One,PS3,2008,0.12,0,0,0.01,0.13
9633,NBA Ballers: Phenom,XB,2006,0.09,0.03,0,0,0.13
10111,NHL Hitz 20-03,XB,2002,0.08,0.02,0,0,0.11
10424,Gravity Games Bike: Street Vert Dirt,PS2,2002,0.05,0.04,0,0.01,0.1
10511,Blitz: The League II,X360,2008,0.08,0.01,0,0.01,0.1
10656,NBA Ballers: Rebound,PSP,2006,0.09,0,0,0.01,0.1
10849,NFL Blitz 20-02,XB,2002,0.07,0.02,0,0,0.09
10868,Blitz: Overtime,PSP,2006,0.09,0,0,0.01,0.09
10881,MLB SlugFest 20-04,XB,2003,0.07,0.02,0,0,0.09
11120,NFL Blitz 20-02,GC,2002,0.07,0.02,0,0,0.09
11162,MLB SlugFest Loaded,XB,2004,0.07,0.02,0,0,0.09
11643,NHL Hitz 20-03,GC,2002,0.06,0.02,0,0,0.08
11771,NHL Open Ice,PS,1996,0.04,0.03,0,0,0.07
12151,RedCard 20-03,PS2,2002,0.03,0.03,0,0.01,0.07
12243,NHL Hitz Pro,XB,2003,0.05,0.01,0,0,0.07
12502,NBA Hangtime,PS,1996,0.03,0.02,0,0,0.06
12890,MLB SlugFest 2006,XB,2006,0.04,0.01,0,0,0.05
12913,NFL Blitz Pro,XB,2003,0.04,0.01,0,0,0.05
13628,MLB SlugFest 20-04,GC,2003,0.03,0.01,0,0,0.04
14118,RedCard 20-03,XB,2002,0.03,0.01,0,0,0.03
15136,RedCard 20-03,GC,2002,0.02,0,0,0,0.02
15152,NFL Blitz Pro,GC,2003,0.02,0,0,0,0.02
