Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
453,World Class Track Meet,NES,1986,1.92,0.45,0.64,0.07,3.08
739,Pro Yakyuu Family Stadium,NES,1986,0.15,0,2.05,0,2.2
1053,We Ski,Wii,2008,0.99,0.42,0.14,0.15,1.7
1363,Pro Yakyuu Family Stadium '87,NES,1987,0.12,0,1.3,0,1.42
1710,Pro Yakyuu Family Stadium '88,NES,1988,0.1,0,1.08,0,1.18
2958,J-League Soccer: Prime Goal,SNES,1993,0,0,0.69,0,0.69
3814,J-League Soccer: Prime Goal 2,SNES,1994,0,0,0.53,0,0.53
4004,Super Famista 5,SNES,1996,0,0,0.5,0,0.5
4091,Active Life: Extreme Challenge,Wii,2009,0.15,0.27,0,0.06,0.48
4242,Super Batter Up,SNES,1992,0,0,0.46,0,0.46
4342,World Stadium 2,PS,1998,0,0,0.42,0.03,0.45
4433,World Stadium EX,PS,1996,0,0,0.41,0.03,0.44
4636,Super Famista 4,SNES,1995,0,0,0.42,0,0.42
4662,Fishing Resort,Wii,2011,0.16,0,0.25,0.01,0.42
4962,Super Famista 3,SNES,1994,0,0,0.39,0,0.39
5492,World Stadium 3,PS,1999,0,0,0.31,0.02,0.33
5495,Extra Bases,GB,1990,0,0,0.33,0,0.33
5704,ExerBeat,Wii,2010,0.1,0.18,0,0.03,0.31
5864,Famista '91,NES,1990,0,0,0.3,0,0.3
6133,Netsu Chu! Pro Yakyuu 2003,PS2,2003,0,0,0.28,0,0.28
6163,Famista '92,NES,1991,0,0,0.28,0,0.28
6310,Slam Dunk: Yonkyo Taiketsu!!,SNES,1994,0,0,0.27,0,0.27
6723,Netsu Chu! Pro Yakyuu 2002,PS2,2002,0,0,0.25,0,0.25
7332,Dorabase DS: Dramatic Stadium,DS,2007,0,0,0.21,0,0.21
7617,Famista 64,N64,N/A,0,0,0.17,0.03,0.2
8519,World Stadium 4,PS,2000,0,0,0.15,0.01,0.16
8798,Active Life Explorer,Wii,2010,0.14,0,0,0.01,0.15
9240,Pro Yakyuu Netsu Star 2006,PS2,2006,0,0,0.14,0,0.14
9245,Famista Returns,3DS,2015,0,0,0.14,0,0.14
9986,Dorabase 2: Nettou Ultra Stadium,DS,2009,0,0,0.12,0,0.12
10186,DualPenSports,3DS,2011,0.05,0.05,0,0.01,0.11
10397,Kuroko's Basketball: Miracle Game,PSP,2012,0,0,0.11,0,0.11
10452,Pro Yakyuu Famista DS 2009,DS,2009,0,0,0.1,0,0.1
10778,Pro Yakyuu Famista DS,DS,2007,0,0,0.1,0,0.1
10813,Kuroko's Basketball: Miracle Game,3DS,2014,0,0,0.1,0,0.1
10889,World Stadium 5,PS,2001,0,0,0.09,0.01,0.09
11663,Pro Yakyuu Famista DS 2010,DS,2010,0,0,0.08,0,0.08
11664,Captain Tsubasa,PS2,2006,0,0,0.08,0,0.08
12101,Family Trainer: Treasure Adventure,Wii,2010,0,0.06,0,0.01,0.07
12578,Pro Yakyuu Netsu Star 2007,PS2,2007,0,0,0.06,0,0.06
12579,Klonoa Beach Volleyball,PS,2002,0.03,0.02,0,0,0.06
12810,Pro Yakyuu Famista 2011,3DS,2011,0,0,0.06,0,0.06
12945,Bass Rise,PS,1999,0.03,0.02,0,0,0.05
13123,Slam Dunk SD Heat Up!!,SNES,1995,0,0,0.05,0,0.05
13283,Smash Court Tennis 3,PSP,2007,0.01,0.01,0.01,0.01,0.05
13825,Stoked: Big Air Edition,X360,2009,0.02,0.02,0,0,0.04
14378,Hajime no Ippo: The Fighting! (2014),PS3,2014,0,0,0.03,0,0.03
14810,Captain Tsubasa J: The Way to World Youth,SNES,1995,0,0,0.03,0,0.03
14865,Pro Yakyuu Family Stadium,Wii,2008,0,0,0.03,0,0.03
15129,Jitsumei Jikkyou Keiba Dream Classic 2002,PS2,2002,0,0,0.02,0,0.02
16221,Family Jockey,Wii,2008,0,0,0.01,0,0.01
