Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,2006,41.49,29.02,3.77,8.46,82.74
4,Wii Sports Resort,Wii,2009,15.75,11.01,3.28,2.96,33
14,Wii Fit,Wii,2007,8.94,8.03,3.6,2.15,22.72
15,Wii Fit Plus,Wii,2009,9.09,8.59,2.53,1.79,22
299,Golf,NES,1984,1.22,0.28,2.46,0.04,4.01
422,Baseball,NES,1983,0.73,0.1,2.35,0.02,3.2
582,Mario Strikers Charged,Wii,2007,1.07,1.06,0.24,0.25,2.62
639,Ice Hockey,NES,1988,1.27,0.32,0.78,0.05,2.42
685,Mario Tennis,N64,2000,0.78,0.4,1.06,0.07,2.32
756,Tennis,NES,1984,0.48,0.11,1.56,0.02,2.17
761,Volleyball,NES,1987,0.14,0.03,1.98,0,2.15
777,Golf,GB,1989,0.83,0.33,0.92,0.04,2.12
783,Mario Sports Mix,Wii,2010,0.9,0.45,0.63,0.13,2.11
839,1080°: TenEighty Snowboarding,N64,1998,1.25,0.61,0.13,0.05,2.03
854,Tennis,GB,1989,0.75,0.3,0.9,0.04,1.99
870,Soccer,NES,1985,0.18,0.23,1.53,0.02,1.96
894,Mario Super Sluggers,Wii,2008,1.51,0,0.29,0.12,1.93
1138,Mario Hoops 3 on 3,DS,2006,0.99,0.04,0.49,0.1,1.62
1144,Baseball,GB,1989,0.66,0.27,0.65,0.03,1.61
1146,Super Mario Strikers,GC,2005,0.98,0.38,0.2,0.04,1.61
1227,Mario Golf: Toadstool Tour,GC,2003,1.09,0.15,0.25,0.04,1.53
1277,New Play Control! Mario Power Tennis,Wii,2009,0.37,0.69,0.28,0.14,1.48
1280,Nintendo World Cup,NES,1990,0.28,0.5,0.65,0.05,1.48
1310,Mario Superstar Baseball,GC,2005,0.93,0.24,0.25,0.04,1.46
1636,Mario Power Tennis,GC,2004,0.58,0.16,0.46,0.03,1.22
1696,Kobe Bryant in NBA Courtside,N64,1998,1.02,0.13,0.04,0.01,1.19
1712,Mario Tennis,GB,2000,0.5,0.18,0.44,0.06,1.18
2063,NES Open Tournament Golf,NES,1991,0.41,0.1,0.47,0.02,1
2206,Mario Tennis Open,3DS,2012,0.26,0.29,0.33,0.05,0.94
2350,Wii Fit U,WiiU,2013,0.39,0.24,0.21,0.06,0.89
2592,Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,2013,0.39,0.22,0.13,0.06,0.8
2594,Capcom's Soccer Shootout,SNES,1993,0,0,0.8,0,0.8
2620,Major League Baseball Featuring Ken Griffey Jr,N64,1998,0.75,0.03,0,0.01,0.79
2626,Personal Trainer: Walking,DS,2008,0.22,0.32,0.17,0.07,0.79
3437,Kirby's Dream Course,SNES,1994,0,0,0.59,0,0.59
3821,Wayne Gretzky's 3D Hockey,N64,1996,0.49,0.03,0,0,0.53
3824,Mario Tennis: Power Tour,GBA,2005,0.24,0.09,0.19,0.01,0.52
4093,Mario Golf: World Tour,3DS,2014,0.15,0.14,0.17,0.03,0.48
4402,Mario Tennis Ultra Smash,WiiU,2015,0.13,0.16,0.13,0.03,0.45
4406,Mario Golf: Advance Tour,GBA,2004,0.32,0.12,0,0.01,0.45
4854,Wii Sports Club,WiiU,2014,0.19,0.14,0.04,0.03,0.4
4983,Super Soccer,SNES,1991,0,0,0.38,0,0.38
5990,Punch-Out!!,Wii,2007,0.02,0.22,0.05,0,0.29
6030,Ken Griffey Jr.'s Slugfest,N64,1999,0.23,0.06,0,0,0.29
6694,NBA Courtside 2 featuring Kobe Bryant,N64,1999,0.2,0.05,0,0,0.25
6765,NBA Courtside 2002,GC,2002,0.19,0.05,0,0.01,0.25
7082,Super Swing Golf,Wii,2006,0.14,0.01,0.07,0.01,0.23
7176,Hamtaro: Ham-Ham Games,GBA,2004,0.16,0.06,0,0,0.22
7903,Active Health with Carol Vorderman,DS,2009,0,0.18,0,0.01,0.19
8451,Itoi Shigesato no Bass Tsuri No. 1,SNES,1997,0,0,0.17,0,0.17
8496,True Swing Golf,DS,2005,0.11,0,0.04,0.01,0.16
10037,Pocket Soccer League: Calciobit,3DS,2012,0,0,0.11,0,0.11
11925,Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!,N64,2000,0,0,0.07,0,0.07
12125,Mario Tennis,Wii,2010,0,0.06,0,0.01,0.07
14629,Calcio Bit,GBA,2006,0,0,0.03,0,0.03
