Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
86,Mario & Sonic at the Olympic Games,Wii,2007,2.58,3.9,0.66,0.91,8.06
190,Mario & Sonic at the Olympic Games,DS,2008,1.64,2.48,0.44,0.58,5.14
234,Mario & Sonic at the Olympic Winter Games,Wii,2009,1.89,1.99,0.22,0.48,4.58
324,Mario & Sonic at the London 2012 Olympic Games,Wii,2011,1.14,1.91,0.27,0.46,3.78
371,Mario & Sonic at the Olympic Winter Games,DS,2009,1.22,1.66,0.27,0.38,3.52
497,Sega Superstars Tennis,X360,2008,1.75,0.86,0,0.28,2.9
581,ESPN NFL 2K5,PS2,2004,2.15,0.12,0,0.36,2.62
1125,ESPN NFL 2K5,XB,2004,1.54,0.02,0,0.07,1.63
1246,Football Manager 2012,PC,2011,0.02,1.16,0,0.34,1.51
1573,Football Manager 2011,PC,2010,0,1.01,0,0.25,1.26
1650,NBA 2K2,PS2,2002,0.59,0.46,0.01,0.15,1.22
1679,NFL 2K,DC,1999,1.12,0.05,0,0.02,1.2
1694,Mario & Sonic at the London 2012 Olympic Games,3DS,2012,0.18,0.64,0.27,0.1,1.19
1736,Football Manager 2013,PC,2012,0,0.95,0,0.22,1.17
1879,NFL 2K1,DC,2000,1.02,0.05,0,0.02,1.09
1948,Sega Superstars Tennis,Wii,2008,0.28,0.65,0,0.13,1.06
1962,Virtua Tennis 3,PS3,2007,0.23,0.59,0.03,0.22,1.06
1978,NBA 2K3,PS2,2002,0.51,0.4,0,0.13,1.05
2343,NFL 2K2,PS2,2001,0.44,0.34,0,0.11,0.89
2392,Beijing 2008,PS3,2008,0.14,0.54,0.01,0.18,0.87
2475,ESPN College Hoops 2K5,PS2,2004,0.41,0.32,0,0.11,0.84
2762,Sega Superstars Tennis,DS,2008,0.29,0.37,0,0.08,0.75
2891,Football Manager 2014,PC,2013,0,0.6,0,0.1,0.71
2904,London 2012: The Official Video Game of the Olympic Games,PS3,2012,0.06,0.5,0,0.15,0.7
3029,Virtua Tennis: World Tour (US & Others sales),PSP,2005,0.16,0.36,0,0.14,0.67
3387,London 2012: The Official Video Game of the Olympic Games,X360,2012,0.07,0.46,0,0.07,0.59
3388,Beijing 2008,X360,2008,0.15,0.38,0,0.07,0.59
3610,ESPN NFL Football,PS2,2003,0.27,0.21,0,0.07,0.56
3671,Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,PS2,2002,0,0,0.55,0,0.55
