Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
314,Sports Champions,PS3,2010,2.12,1.14,0.1,0.51,3.87
500,Hot Shots Golf 3,PS2,2001,0.99,0.32,1.38,0.2,2.89
528,Hot Shots Golf,PS,1997,0.29,0.2,2.13,0.18,2.79
868,Hot Shots Golf: Open Tee,PSP,2004,0.5,0.5,0.63,0.33,1.96
917,Hot Shots Golf 2,PS,1999,0.25,0.12,1.48,0.03,1.88
1076,NFL GameDay 98,PS,1997,1.58,0.06,0,0.04,1.68
1384,2Xtreme,PS,1996,1.15,0.2,0,0.05,1.4
1788,Hot Shots Golf: Out of Bounds,PS3,2007,0.31,0.03,0.76,0.04,1.14
1934,World Tour Soccer,PSP,2005,0.1,0.63,0,0.34,1.07
2071,NFL GameDay 2001,PS,2000,0.56,0.38,0,0.07,1
2213,MLB 2000,PS,1999,0.52,0.35,0,0.06,0.94
2218,Hot Shots Golf Fore!,PS2,2003,0.46,0.36,0,0.12,0.94
2219,MLB 06: The Show,PS2,2006,0.78,0.03,0,0.13,0.94
2239,MLB 07: The Show,PS2,2007,0.77,0.03,0,0.13,0.93
2268,MLB 12: The Show,PS3,2012,0.86,0,0,0.06,0.92
2273,MLB 15: The Show,PS4,2015,0.67,0.08,0,0.17,0.92
2299,MLB 2005,PS2,2004,0.44,0.35,0,0.12,0.9
2308,Hot Shots Tennis,PS2,2006,0.17,0.13,0.55,0.05,0.9
2353,MLB 2001,PS,2000,0.49,0.34,0,0.06,0.89
2391,NFL GameDay '97,PS,1996,0.48,0.33,0,0.06,0.87
2422,MLB 99,PS,1998,0.48,0.32,0,0.06,0.86
2448,NFL GameDay,PS,1995,0.47,0.32,0,0.06,0.85
2657,NBA ShootOut 98,PS,1998,0.43,0.29,0,0.05,0.78
2851,MLB 09: The Show,PS3,2009,0.66,0,0,0.05,0.72
2862,MLB 13: The Show,PS3,2013,0.66,0,0,0.05,0.71
2880,MLB 10: The Show,PS3,2010,0.66,0,0,0.05,0.71
2938,MLB 08: The Show,PS3,2008,0.64,0,0,0.05,0.7
2960,NFL Xtreme,PS,1998,0.38,0.26,0,0.05,0.69
