Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
467,WWE SmackDown! Shut Your Mouth,PS2,2002,1.45,1.13,0.07,0.38,3.02
1086,Big Beach Sports,Wii,2008,0.45,1.02,0,0.2,1.67
1899,The Biggest Loser,Wii,2009,0.87,0.12,0,0.09,1.08
2325,The Biggest Loser: Ultimate Workout,X360,2010,0.73,0.1,0,0.06,0.9
2470,Rocket Power: Team Rocket Rescue,PS,2001,0.47,0.32,0,0.05,0.84
2580,All Star Cheer Squad,Wii,2008,0.43,0.29,0,0.08,0.8
2648,UFC Personal Trainer: The Ultimate Fitness System,X360,2011,0.53,0.19,0,0.06,0.78
3021,The Biggest Loser: Challenge,Wii,2010,0.49,0.13,0,0.05,0.67
5624,The Biggest Loser,DS,2009,0.18,0.11,0,0.03,0.32
6106,All Star Cheer Squad,DS,2008,0.26,0,0,0.02,0.28
6210,Bass Strike,PS2,2001,0.14,0.11,0,0.04,0.28
6968,Big Beach Sports 2,Wii,N/A,0.09,0.12,0,0.03,0.23
7315,Dark Summit,PS2,2001,0.11,0.08,0,0.03,0.21
7564,Rocket Power: Zero Gravity Zone,GBA,2003,0.14,0.05,0,0,0.2
7642,UFC Personal Trainer: The Ultimate Fitness System,PS3,2011,0.08,0.09,0,0.04,0.2
7659,UFC Personal Trainer: The Ultimate Fitness System,Wii,2011,0.12,0.06,0,0.02,0.2
8153,Brunswick Circuit Pro Bowling,PS,1998,0.1,0.07,0,0.01,0.18
8917,Gallop & Ride!,Wii,2008,0.14,0,0,0.01,0.15
9155,Bassmasters 2000,N64,1999,0.11,0.03,0,0,0.14
9329,Back At The Barnyard: Slop Bucket Games,DS,2008,0.12,0,0,0.01,0.14
9427,All Star Cheer Squad 2,Wii,2009,0.12,0,0,0.01,0.13
9843,MTV Sports: Pure Ride,PS,2000,0.07,0.05,0,0.01,0.12
10417,Brunswick Circuit Pro Bowling 2,PS,2000,0.06,0.04,0,0.01,0.11
10494,G1 Jockey 3,PS2,2002,0.02,0.01,0.07,0,0.1
10559,Dark Summit,XB,2001,0.08,0.02,0,0,0.1
10934,Let's Ride! Silver Buckle Stables,PS2,2006,0.05,0.04,0,0.01,0.09
11556,Boxing Fever,GBA,2001,0.06,0.02,0,0,0.08
11989,Mia Hamm Soccer 64,N64,2000,0.06,0.01,0,0,0.07
12507,Brunswick Circuit Pro Bowling,N64,1999,0.05,0.01,0,0,0.06
13135,Dark Summit,GC,2002,0.04,0.01,0,0,0.05
15096,Toxic Grind,XB,2002,0.02,0,0,0,0.02
