Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
315,NBA 2K16,PS4,2015,2.48,0.65,0.03,0.69,3.85
469,NBA 2K13,X360,2012,2.6,0.21,0.01,0.19,3
585,NBA 2K12,X360,2011,2.31,0.14,0.01,0.16,2.62
624,NBA 2K13,PS3,2012,1.72,0.44,0.05,0.27,2.48
626,NBA 2K14,X360,2013,2.1,0.2,0,0.17,2.47
663,NBA 2K15,PS4,2014,1.46,0.54,0.01,0.37,2.38
683,NBA 2K16,XOne,2015,1.93,0.14,0,0.24,2.32
778,NBA 2K12,PS3,2011,1.61,0.27,0.05,0.18,2.11
825,NBA 2K14,PS3,2013,1.43,0.33,0.04,0.25,2.05
1060,NBA 2K15,XOne,2014,1.36,0.18,0,0.15,1.69
1132,NBA 2K15,X360,2014,1.33,0.14,0,0.15,1.63
1171,Carnival Games: Mini Golf,Wii,2008,0.87,0.56,0,0.15,1.58
1284,Major League Baseball 2K5,PS2,2005,0.72,0.56,0,0.19,1.48
1424,NBA 2K15,PS3,2014,0.86,0.27,0.02,0.22,1.36
1472,NBA 2K14,PS4,2013,0.89,0.31,0.01,0.12,1.33
1559,NBA 2K9,X360,2008,1,0.16,0,0.11,1.27
1566,Rockstar Games presents Table Tennis,Wii,2007,0.39,0.73,0,0.15,1.27
1675,WWE 2K16,PS4,2015,0.41,0.6,0,0.19,1.2
1686,WWE 2K14,PS3,2013,0.49,0.49,0,0.21,1.19
1703,NBA 2K17,PS4,2016,0.83,0.14,0,0.22,1.19
1810,WWE 2K15,PS4,2014,0.38,0.56,0,0.19,1.13
1813,WWE 2K14,X360,2013,0.64,0.39,0,0.1,1.13
2134,NBA 2K10,X360,2009,0.88,0.02,0,0.08,0.97
2141,NBA 2K16,X360,2015,0.77,0.1,0,0.1,0.97
2222,Nickelodeon Fit,Wii,2010,0.78,0.09,0,0.06,0.93
2379,NBA 2K14,XOne,2013,0.7,0.11,0,0.06,0.87
2435,NBA 2K8,X360,2007,0.79,0,0,0.07,0.85
2445,WWE 2K15,PS3,2014,0.36,0.35,0,0.14,0.85
2460,NBA 2K10,PS3,2009,0.75,0.01,0.01,0.07,0.84
2579,NBA 2K16,PS3,2015,0.44,0.19,0.03,0.13,0.8
2650,NBA 2K7,PS2,2006,0.65,0.02,0,0.11,0.78
2725,Rockstar Games presents Table Tennis,X360,2006,0.28,0.39,0,0.09,0.76
2866,Top Spin 4,PS3,2011,0.17,0.4,0,0.14,0.71
2943,WWE 2K15,X360,2014,0.38,0.26,0,0.06,0.69
3147,NBA 2K17,XOne,2016,0.54,0.04,0,0.07,0.64
3286,NBA 2K9,PS3,2008,0.56,0,0,0.05,0.61
3345,NBA 2K8,PS2,2007,0.5,0.02,0,0.08,0.6
3458,WWE 2K16,XOne,2015,0.31,0.22,0,0.05,0.58
3484,NBA 2K7,X360,2006,0.53,0,0,0.04,0.58
3485,WWE 2K16,PS3,2015,0.21,0.27,0,0.09,0.58
3613,Major League Baseball 2K5,XB,2005,0.52,0.02,0,0.02,0.56
3615,WWE 2K15,XOne,2014,0.28,0.23,0,0.04,0.56
3660,NBA 2K8,PS3,2007,0.5,0.01,0,0.05,0.55
3911,Major League Baseball 2K10,X360,2010,0.47,0,0,0.04,0.51
3932,The BIGS,PS2,2007,0.25,0.19,0,0.06,0.51
