Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
679,My Fitness Coach,Wii,2008,1.2,0.9,0,0.24,2.34
758,Your Shape featuring Jenny McCarthy,Wii,2009,1.51,0.47,0,0.18,2.16
1084,Shaun White Snowboarding: Road Trip,Wii,2008,0.94,0.57,0,0.17,1.67
1469,Your Shape: Fitness Evolved,X360,2010,0.79,0.42,0,0.11,1.33
1513,Gold's Gym: Cardio Workout,Wii,2008,1.11,0.04,0.06,0.09,1.31
1721,Your Shape: Fitness Evolved 2012,X360,2011,0.7,0.37,0,0.1,1.17
2165,My Weight Loss Coach,DS,2008,0.3,0.54,0,0.11,0.96
2382,Gold's Gym: Dance Workout,Wii,2010,0.71,0.11,0,0.06,0.87
2530,Shaun White Snowboarding,X360,N/A,0.48,0.26,0,0.08,0.82
2937,MotionSports,X360,2010,0.38,0.26,0,0.06,0.7
3034,Summer Sports: Paradise Island (Others sales),Wii,2008,0,0.66,0,0.01,0.67
3055,Shaun White Snowboarding,PS3,2008,0.31,0.24,0.01,0.1,0.66
3677,Summer Sports: Paradise Island,Wii,2008,0.49,0.02,0,0.04,0.55
4225,Imagine: Figure Skater (US sales),DS,2007,0.46,0.01,0,0,0.47
4236,Razor Freestyle Scooter,PS,1999,0.26,0.17,0,0.03,0.46
4907,Ener-G: Gym Rockets,DS,2008,0.36,0,0,0.03,0.39
5088,ESPN: Sports Connection,WiiU,2012,0.21,0.12,0,0.04,0.37
5308,Racquet Sports,PS3,2010,0.11,0.17,0,0.06,0.35
5643,Shaun White Snowboarding,PSP,2008,0.26,0.03,0,0.03,0.32
5645,Gold's Gym: Cardio Workout (Others sales),Wii,2008,0,0.3,0,0.02,0.32
5779,Shaun White Snowboarding,PS2,2008,0.15,0.12,0,0.04,0.31
5807,Shaun White Snowboarding: World Stage,Wii,2009,0.25,0.04,0,0.02,0.31
6074,Surf's Up,PS2,2007,0.14,0.11,0,0.04,0.29
6170,Surf's Up,DS,2007,0.26,0,0,0.02,0.28
6314,MotionSports: Adrenaline,X360,2011,0.14,0.1,0,0.03,0.27
6430,Summer Sports 2: Island Sports Party,Wii,2008,0.24,0,0,0.02,0.27
6505,Racquet Sports,Wii,2010,0.14,0.09,0,0.02,0.26
6819,Pure Futbol,PS3,2010,0.06,0.13,0,0.05,0.24
7026,Shaun White Snowboarding,DS,2008,0.21,0,0,0.02,0.23
7590,Super Dodge Ball Advance,GBA,2001,0.14,0.05,0,0,0.2
7892,Shaun White Skateboarding,PS3,2010,0.11,0.05,0,0.03,0.19
7896,Shaun White Skateboarding,Wii,2010,0.14,0.03,0,0.01,0.19
8004,Pure Futbol,X360,2010,0.08,0.09,0,0.02,0.18
8401,Surf's Up,Wii,2007,0.15,0,0,0.01,0.17
8575,Ener-G: Dance Squad,DS,2008,0.15,0,0,0.01,0.16
8609,MotionSports: Adrenaline,PS3,2011,0.08,0.06,0,0.03,0.16
