Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1732,Cabela's Dangerous Hunts,PS2,2003,0.57,0.45,0,0.15,1.17
5230,Rapala Pro Fishing,PS2,2004,0.18,0.14,0,0.05,0.36
5271,Cabela's Outdoor Adventures (2006),PS2,2005,0.17,0.14,0,0.05,0.35
5286,Cabela's Dangerous Hunts,XB,2003,0.26,0.08,0,0.01,0.35
7479,Gallop Racer 2003: A New Breed,PS2,2002,0.04,0.03,0.12,0.01,0.21
8605,Rapala Pro Fishing,XB,2004,0.12,0.03,0,0.01,0.16
9831,Skate City Heroes,Wii,2008,0.11,0,0,0.01,0.12
10445,Cabela's Outdoor Adventures,XB,2005,0.08,0.02,0,0,0.1
11632,Ultimate Duck Hunting,Wii,2009,0.07,0,0,0.01,0.08
11823,Harlem Globetrotters: World Tour,DS,2006,0.07,0,0,0.01,0.07
12315,Gallop Racer 2004,PS2,2004,0.03,0.02,0,0.01,0.06
12548,Rapala Pro Fishing,GBA,2004,0.04,0.02,0,0,0.06
14539,Street Jam Basketball,GBA,2004,0.02,0.01,0,0,0.03
15154,Balls of Fury,Wii,2007,0.02,0,0,0,0.02
15680,Balls of Fury,DS,2007,0.02,0,0,0,0.02
16025,Wiffle Ball Advance,DS,2007,0.01,0,0,0,0.01
