Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
218,StarCraft II: Wings of Liberty,PC,2010,2.56,1.68,0,0.59,4.83
268,Warcraft II: Tides of Darkness,PC,1995,1.7,2.27,0,0.23,4.21
808,Warcraft: Orcs & Humans,PC,1994,0.89,1.08,0,0.11,2.08
1094,StarCraft II: Heart of the Swarm,PC,2013,0.82,0.65,0,0.19,1.67
1214,Warcraft III: The Frozen Throne,PC,2003,0.58,0.87,0,0.09,1.54
3890,StarCraft II: Legacy of the Void,PC,2015,0.18,0.29,0,0.04,0.51
5303,Angry Birds Star Wars,Wii,2013,0.21,0.1,0,0.03,0.35
5418,Angry Birds Star Wars,3DS,2013,0.15,0.15,0,0.03,0.34
5541,Angry Birds Star Wars,PS3,2013,0.1,0.17,0,0.06,0.33
6017,Angry Birds Star Wars,X360,2013,0.16,0.11,0,0.03,0.29
6222,Civilization II,PS,1998,0.15,0.11,0,0.02,0.28
7593,Angry Birds Star Wars,PS4,2013,0.1,0.08,0,0.03,0.2
7669,Gladius,PS2,2003,0.1,0.08,0,0.03,0.2
8673,Angry Birds Star Wars,XOne,2013,0.11,0.04,0,0.01,0.16
9325,Gladius,XB,2003,0.1,0.03,0,0,0.14
9726,Angry Birds Star Wars,PSV,2013,0.05,0.04,0,0.03,0.12
10328,Angry Birds Star Wars,WiiU,2013,0.06,0.04,0,0.01,0.11
10489,Rome: Total War,PC,2004,0,0.08,0,0.02,0.1
11108,Bakugan: Rise of the Resistance,DS,2011,0.06,0.02,0,0.01,0.09
11779,Gladius,GC,2003,0.06,0.01,0,0,0.07
13231,StarCraft,PC,1998,0,0.04,0,0.01,0.05
14819,The Legend of Korra (3DS),3DS,2014,0.02,0,0,0,0.03
