Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1595,RollerCoaster Tycoon 2,PC,2002,1.19,0.05,0,0,1.25
3064,Thrillville,PS2,2006,0.55,0.02,0,0.09,0.66
5029,Risk: Global Domination,PS2,2003,0.19,0.15,0,0.05,0.38
6209,RollerCoaster Tycoon 3,PC,2004,0.01,0.22,0,0.05,0.28
6418,Duel Masters,PS2,2004,0.13,0.1,0,0.03,0.27
7497,Thrillville,PSP,2006,0.18,0,0,0.02,0.2
8525,Magic: The Gathering - Battlegrounds,XB,2003,0.12,0.03,0,0.01,0.16
9501,RollerCoaster Tycoon,XB,2003,0.1,0.03,0,0,0.13
10134,Yu Yu Hakusho: Tournament Tactics,GBA,2004,0.08,0.03,0,0,0.11
10532,Dungeons & Dragons Tactics,PSP,2007,0.09,0,0,0.01,0.1
11148,RollerCoaster Tycoon 3: Platinum,PC,2005,0.01,0.06,0,0.01,0.09
11225,ChuChu Rocket!,GBA,2001,0.06,0.02,0,0,0.09
12836,Rebelstar: Tactical Command,GBA,2005,0.04,0.01,0,0,0.05
14424,Codename: Panzers Cold War,PC,2009,0,0.02,0,0.01,0.03
14746,RollerCoaster Tycoon 2: Triple Thrill Pack,PC,2003,0,0.02,0,0.01,0.03
14976,Demigod,PC,2009,0,0.02,0,0,0.02
15471,Tycoon City: New York,PC,2006,0,0.02,0,0,0.02
