Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2587,Super Robot Taisen α,PS,2000,0,0,0.75,0.05,0.8
3129,Super Robot Taisen Impact,PS2,2002,0,0,0.65,0,0.65
3283,Super Robot Taisen α Gaiden,PS,2001,0,0,0.58,0.04,0.62
3382,Dai-2-Ji Super Robot Taisen α,PS2,2003,0,0,0.6,0,0.6
3389,Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,PS2,2005,0,0,0.59,0,0.59
3669,Super Robot Taisen F,SAT,1997,0,0,0.55,0,0.55
3674,Super Robot Taisen F Kanketsuhen,SAT,1998,0,0,0.55,0,0.55
3917,Dai-4-Ji Super Robot Taisen S,PS,1996,0,0,0.48,0.03,0.51
3983,Super Robot Taisen MX,PS2,2004,0,0,0.5,0,0.5
4459,Super Robot Taisen OG: Original Generations,PS2,2007,0,0,0.44,0,0.44
4570,Dai-2-Ji Super Robot Taisen Z: Hakai-hen,PSP,2011,0,0,0.42,0,0.42
5050,Dai-4-Ji Super Robot Taisen,SNES,1995,0,0,0.38,0,0.38
5144,Super Robot Taisen EX,SNES,1994,0,0,0.37,0,0.37
5241,Super Robot Taisen A,GBA,2001,0,0,0.35,0.01,0.36
5673,Shin Super Robot Taisen Special Disk,PS,1997,0,0,0.3,0.02,0.32
5751,Super Robot Taisen Complete Box,PS,1999,0,0,0.29,0.02,0.31
5858,Super Robot Taisen W,DS,2007,0,0,0.3,0,0.3
5868,Super Robot Taisen OG: Original Generations Gaiden,PS2,2007,0,0,0.3,0,0.3
6601,Super Robot Taisen R,GBA,2002,0,0,0.25,0.01,0.26
6971,Super Robot Taisen D,GBA,2003,0,0,0.23,0.01,0.23
7098,Super Robot Taisen F Kanketsuhen,PS,1999,0,0,0.21,0.01,0.23
7625,Super Robot Taisen 64,N64,1999,0,0,0.2,0,0.2
7796,Super Robot Taisen: Scramble Commander,PS2,2003,0,0,0.19,0,0.19
8028,Super Robot Taisen J,GBA,2005,0,0,0.18,0,0.18
8087,Battle Commander: Hachibushu Shura no Heihou,SNES,1991,0,0,0.18,0,0.18
11063,Super Robot Taisen MX Portable,PSP,2005,0,0,0.09,0,0.09
14039,Super Robot Taisen: Scramble Commander the 2nd,PS2,2007,0,0,0.04,0,0.04
16066,Super Robot Taisen XO,X360,2006,0,0,0.01,0,0.01
