Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
205,Warzone 2100,PS,1999,2.79,1.89,0,0.33,5.01
5513,Battlestations: Pacific,X360,2009,0.17,0.12,0.01,0.03,0.33
6449,Battlestations: Midway,X360,2007,0.21,0.02,0,0.02,0.26
8139,Commandos 2: Men of Courage,PS2,2002,0.09,0.07,0,0.02,0.18
9434,The Unholy War,PS,1998,0.07,0.05,0,0.01,0.13
11833,Commandos 2: Men of Courage,XB,2002,0.05,0.02,0,0,0.07
13496,Praetorians,PC,2003,0,0.04,0,0,0.04
13679,Imperial Glory,PC,2005,0,0.04,0,0,0.04
14872,Battlestations: Pacific,PC,2009,0,0.02,0,0,0.03
15495,Commandos 3: Destination Berlin,PC,2003,0,0.02,0,0,0.02
16276,Battlestations: Midway,PC,2007,0,0.01,0,0,0.01
